"","BlackGeneNames"
"667","TRINITY_DN19840_c0_g1"
"668","TRINITY_DN73044_c0_g1"
"669","TRINITY_DN1756_c0_g1"
"670","TRINITY_DN35583_c0_g1"
"671","TRINITY_DN721_c0_g1"
"672","TRINITY_DN13900_c0_g1"
"673","TRINITY_DN10799_c0_g1"
"674","TRINITY_DN45_c1_g1"
"675","TRINITY_DN52150_c0_g1"
"676","TRINITY_DN1895_c0_g1"
"677","TRINITY_DN3186_c0_g1"
"678","TRINITY_DN39573_c0_g1"
"679","TRINITY_DN28254_c0_g1"
"680","TRINITY_DN7446_c0_g1"
"681","TRINITY_DN4716_c0_g1"
"682","TRINITY_DN53329_c0_g1"
"683","TRINITY_DN14578_c0_g1"
"684","TRINITY_DN44999_c0_g1"
"685","TRINITY_DN72255_c0_g1"
"686","TRINITY_DN57475_c0_g1"
"687","TRINITY_DN17458_c0_g1"
"688","TRINITY_DN25371_c0_g1"
"689","TRINITY_DN65126_c0_g1"
"690","TRINITY_DN43285_c0_g1"
"691","TRINITY_DN1657_c0_g1"
"692","TRINITY_DN36247_c0_g2"
"693","TRINITY_DN36122_c0_g1"
"694","TRINITY_DN51699_c0_g1"
"695","TRINITY_DN9445_c0_g2"
"696","TRINITY_DN42314_c0_g1"
"697","TRINITY_DN5310_c0_g1"
"698","TRINITY_DN63938_c0_g1"
"699","TRINITY_DN26172_c0_g2"
"700","TRINITY_DN14022_c0_g1"
"701","TRINITY_DN66361_c0_g1"
"702","TRINITY_DN2342_c0_g1"
"703","TRINITY_DN50045_c0_g1"
"704","TRINITY_DN78980_c0_g1"
"705","TRINITY_DN46188_c0_g1"
"706","TRINITY_DN66_c0_g1"
"707","TRINITY_DN11722_c0_g1"
"708","TRINITY_DN53115_c0_g1"
"709","TRINITY_DN33193_c0_g1"
"710","TRINITY_DN10766_c0_g1"
"711","TRINITY_DN50589_c0_g1"
"712","TRINITY_DN10373_c1_g1"
"713","TRINITY_DN38390_c0_g1"
"714","TRINITY_DN51379_c0_g1"
"715","TRINITY_DN6904_c0_g1"
"716","TRINITY_DN11222_c0_g1"
"717","TRINITY_DN2410_c0_g1"
"718","TRINITY_DN36075_c0_g1"
"719","TRINITY_DN29220_c0_g1"
"720","TRINITY_DN23464_c0_g1"
"721","TRINITY_DN2992_c2_g1"
"722","TRINITY_DN23747_c0_g1"
"723","TRINITY_DN864_c0_g1"
"724","TRINITY_DN4331_c0_g1"
"725","TRINITY_DN34530_c0_g1"
"726","TRINITY_DN1930_c0_g1"
"727","TRINITY_DN7221_c0_g1"
"728","TRINITY_DN24193_c0_g1"
"729","TRINITY_DN8148_c2_g1"
"730","TRINITY_DN9707_c0_g1"
"731","TRINITY_DN42206_c0_g1"
"732","TRINITY_DN5915_c0_g2"
"733","TRINITY_DN4859_c0_g1"
"734","TRINITY_DN34453_c0_g1"
"735","TRINITY_DN40829_c0_g1"
"736","TRINITY_DN3645_c0_g1"
"737","TRINITY_DN52465_c0_g1"
"738","TRINITY_DN29786_c0_g2"
"739","TRINITY_DN2155_c1_g1"
"740","TRINITY_DN30705_c0_g1"
"741","TRINITY_DN6924_c0_g1"
"742","TRINITY_DN5868_c0_g1"
"743","TRINITY_DN3027_c0_g1"
"744","TRINITY_DN2776_c0_g1"
"745","TRINITY_DN1917_c0_g1"
"746","TRINITY_DN52144_c0_g1"
"747","TRINITY_DN3176_c0_g1"
"748","TRINITY_DN1404_c0_g2"
"749","TRINITY_DN27054_c0_g1"
"750","TRINITY_DN33639_c0_g1"
"751","TRINITY_DN71113_c0_g1"
"752","TRINITY_DN41508_c0_g1"
"753","TRINITY_DN14434_c0_g1"
"754","TRINITY_DN5820_c0_g1"
"755","TRINITY_DN450_c1_g1"
"756","TRINITY_DN1132_c0_g1"
"757","TRINITY_DN61871_c0_g1"
"758","TRINITY_DN82164_c0_g1"
"759","TRINITY_DN952_c0_g1"
"760","TRINITY_DN23215_c0_g1"
"761","TRINITY_DN12592_c0_g1"
"762","TRINITY_DN45788_c0_g1"
"763","TRINITY_DN7443_c1_g1"
"764","TRINITY_DN53516_c0_g1"
"765","TRINITY_DN24888_c0_g2"
"766","TRINITY_DN4208_c0_g1"
"767","TRINITY_DN16899_c0_g1"
"768","TRINITY_DN40808_c0_g1"
"769","TRINITY_DN24802_c0_g1"
"770","TRINITY_DN40350_c0_g1"
"771","TRINITY_DN11908_c0_g1"
"772","TRINITY_DN28668_c0_g1"
"773","TRINITY_DN34930_c0_g1"
"774","TRINITY_DN2261_c0_g1"
"775","TRINITY_DN27988_c0_g1"
"776","TRINITY_DN53364_c0_g1"
"777","TRINITY_DN21337_c0_g1"
"778","TRINITY_DN39962_c0_g1"
"779","TRINITY_DN16360_c0_g1"
"780","TRINITY_DN160_c0_g1"
"781","TRINITY_DN26_c0_g1"
"782","TRINITY_DN15593_c0_g1"
"783","TRINITY_DN6711_c0_g1"
"784","TRINITY_DN3453_c1_g1"
"785","TRINITY_DN59900_c0_g1"
"786","TRINITY_DN49208_c0_g1"
"787","TRINITY_DN43075_c0_g1"
"788","TRINITY_DN39614_c0_g1"
"789","TRINITY_DN23252_c0_g1"
"790","TRINITY_DN50013_c0_g1"
"791","TRINITY_DN11868_c0_g1"
"792","TRINITY_DN58783_c0_g1"
"793","TRINITY_DN1471_c0_g1"
"794","TRINITY_DN28993_c0_g1"
"795","TRINITY_DN25126_c2_g1"
"796","TRINITY_DN3006_c0_g1"
"797","TRINITY_DN36683_c0_g1"
"798","TRINITY_DN14592_c1_g1"
"799","TRINITY_DN20662_c0_g1"
"800","TRINITY_DN2659_c2_g1"
"801","TRINITY_DN64265_c0_g1"
"802","TRINITY_DN4358_c0_g1"
"803","TRINITY_DN4500_c0_g1"
"804","TRINITY_DN316_c0_g1"
"805","TRINITY_DN23581_c0_g1"
"806","TRINITY_DN8913_c0_g1"
"807","TRINITY_DN26786_c0_g1"
"808","TRINITY_DN1559_c0_g1"
"809","TRINITY_DN9947_c0_g1"
"810","TRINITY_DN38538_c0_g1"
"811","TRINITY_DN56944_c0_g1"
"812","TRINITY_DN17634_c0_g1"
"813","TRINITY_DN49253_c0_g1"
"814","TRINITY_DN33568_c0_g1"
"815","TRINITY_DN1777_c0_g1"
"816","TRINITY_DN12523_c0_g1"
"817","TRINITY_DN37448_c0_g1"
"818","TRINITY_DN853_c0_g1"
"819","TRINITY_DN16514_c0_g1"
"820","TRINITY_DN6552_c0_g1"
"821","TRINITY_DN12544_c0_g1"
"822","TRINITY_DN79121_c0_g1"
"823","TRINITY_DN55043_c0_g1"
"824","TRINITY_DN21577_c0_g1"
"825","TRINITY_DN25737_c0_g1"
"826","TRINITY_DN1180_c0_g1"
"827","TRINITY_DN12268_c0_g1"
"828","TRINITY_DN43040_c0_g1"
"829","TRINITY_DN11028_c0_g1"
"830","TRINITY_DN2680_c0_g1"
"831","TRINITY_DN4585_c0_g1"
"832","TRINITY_DN22037_c0_g1"
"833","TRINITY_DN33590_c0_g1"
"834","TRINITY_DN52817_c0_g1"
"835","TRINITY_DN10598_c0_g1"
"836","TRINITY_DN28617_c0_g1"
"837","TRINITY_DN32002_c0_g1"
"838","TRINITY_DN9416_c0_g1"
"839","TRINITY_DN18297_c0_g1"
"840","TRINITY_DN5761_c0_g1"
"841","TRINITY_DN6998_c0_g1"
"842","TRINITY_DN82296_c0_g1"
"843","TRINITY_DN16346_c1_g1"
"844","TRINITY_DN45089_c0_g1"
"845","TRINITY_DN5712_c1_g1"
"846","TRINITY_DN44965_c0_g1"
"847","TRINITY_DN3370_c0_g1"
