"","BlackGeneNames"
"154","TRINITY_DN2399_c0_g1"
"155","TRINITY_DN23610_c0_g1"
"156","TRINITY_DN8288_c0_g1"
"157","TRINITY_DN235_c0_g1"
"158","TRINITY_DN8137_c0_g1"
"159","TRINITY_DN785_c1_g3"
"160","TRINITY_DN20544_c0_g1"
"161","TRINITY_DN19094_c0_g1"
"162","TRINITY_DN3878_c0_g1"
"163","TRINITY_DN14015_c0_g1"
"164","TRINITY_DN353_c0_g1"
"165","TRINITY_DN6880_c0_g1"
"166","TRINITY_DN26443_c0_g1"
"167","TRINITY_DN3881_c0_g1"
"168","TRINITY_DN1285_c0_g1"
"169","TRINITY_DN18015_c0_g1"
"170","TRINITY_DN5384_c0_g1"
"171","TRINITY_DN19905_c0_g1"
"172","TRINITY_DN21678_c0_g1"
"173","TRINITY_DN22585_c0_g1"
"174","TRINITY_DN12623_c0_g1"
"175","TRINITY_DN25736_c0_g1"
"176","TRINITY_DN21676_c0_g1"
"177","TRINITY_DN1032_c0_g1"
"178","TRINITY_DN8841_c0_g1"
"179","TRINITY_DN13335_c0_g1"
"180","TRINITY_DN19932_c0_g1"
"181","TRINITY_DN1688_c0_g1"
"182","TRINITY_DN3873_c0_g2"
"183","TRINITY_DN2164_c0_g1"
"184","TRINITY_DN5684_c0_g1"
"185","TRINITY_DN374_c0_g1"
"186","TRINITY_DN19225_c0_g1"
"187","TRINITY_DN13150_c0_g1"
"188","TRINITY_DN23820_c0_g1"
"189","TRINITY_DN61_c1_g1"
"190","TRINITY_DN12792_c1_g1"
"191","TRINITY_DN4271_c1_g1"
"192","TRINITY_DN11963_c0_g1"
"193","TRINITY_DN1611_c0_g1"
"194","TRINITY_DN13038_c0_g1"
"195","TRINITY_DN13336_c0_g1"
"196","TRINITY_DN6672_c0_g2"
"197","TRINITY_DN19057_c0_g1"
"198","TRINITY_DN20292_c0_g1"
"199","TRINITY_DN22460_c2_g1"
"200","TRINITY_DN10948_c0_g1"
"201","TRINITY_DN41897_c0_g1"
"202","TRINITY_DN8249_c0_g1"
"203","TRINITY_DN39050_c0_g1"
"204","TRINITY_DN38568_c0_g1"
"205","TRINITY_DN391_c2_g1"
"206","TRINITY_DN7624_c0_g1"
"207","TRINITY_DN1983_c0_g1"
"208","TRINITY_DN201_c0_g1"
"209","TRINITY_DN106_c0_g1"
"210","TRINITY_DN4927_c0_g1"
"211","TRINITY_DN24264_c0_g1"
"212","TRINITY_DN4984_c0_g1"
"213","TRINITY_DN2416_c0_g2"
"214","TRINITY_DN2467_c1_g1"
"215","TRINITY_DN27830_c2_g1"
"216","TRINITY_DN1622_c0_g1"
"217","TRINITY_DN14919_c0_g1"
"218","TRINITY_DN8168_c1_g1"
"219","TRINITY_DN35458_c0_g1"
"220","TRINITY_DN8164_c0_g2"
"221","TRINITY_DN31029_c0_g1"
"222","TRINITY_DN21633_c0_g1"
"223","TRINITY_DN23758_c0_g1"
"224","TRINITY_DN953_c0_g2"
"225","TRINITY_DN51201_c0_g1"
"226","TRINITY_DN1652_c0_g1"
"227","TRINITY_DN9303_c0_g1"
"228","TRINITY_DN21727_c0_g1"
"229","TRINITY_DN27130_c0_g1"
"230","TRINITY_DN20531_c0_g1"
"231","TRINITY_DN17243_c0_g1"
"232","TRINITY_DN22556_c0_g1"
"233","TRINITY_DN44991_c0_g1"
"234","TRINITY_DN30326_c0_g1"
"235","TRINITY_DN4185_c0_g1"
"236","TRINITY_DN20524_c0_g1"
"237","TRINITY_DN17908_c0_g1"
"238","TRINITY_DN26228_c0_g1"
"239","TRINITY_DN19597_c0_g1"
"240","TRINITY_DN2396_c0_g1"
"241","TRINITY_DN23185_c0_g1"
"242","TRINITY_DN23637_c0_g1"
"243","TRINITY_DN5997_c0_g1"
"244","TRINITY_DN31975_c0_g1"
"245","TRINITY_DN13739_c0_g1"
"246","TRINITY_DN15559_c0_g1"
"247","TRINITY_DN20609_c0_g1"
"248","TRINITY_DN590_c0_g1"
"249","TRINITY_DN13255_c0_g1"
"250","TRINITY_DN5821_c0_g1"
"251","TRINITY_DN5409_c0_g1"
"252","TRINITY_DN22256_c0_g1"
"253","TRINITY_DN7800_c2_g1"
"254","TRINITY_DN2616_c0_g1"
"255","TRINITY_DN5091_c0_g1"
"256","TRINITY_DN5957_c0_g1"
"257","TRINITY_DN5233_c0_g1"
"258","TRINITY_DN4214_c0_g1"
"259","TRINITY_DN7592_c1_g1"
"260","TRINITY_DN28972_c0_g1"
"261","TRINITY_DN29448_c0_g1"
"262","TRINITY_DN6688_c6_g1"
"263","TRINITY_DN6503_c0_g1"
"264","TRINITY_DN2811_c0_g1"
"265","TRINITY_DN3831_c0_g1"
"266","TRINITY_DN19011_c0_g1"
"267","TRINITY_DN28077_c0_g1"
"268","TRINITY_DN4551_c0_g1"
"269","TRINITY_DN1400_c1_g1"
"270","TRINITY_DN498_c0_g1"
"271","TRINITY_DN20138_c0_g1"
"272","TRINITY_DN703_c0_g1"
"273","TRINITY_DN24612_c0_g1"
"274","TRINITY_DN11804_c0_g1"
"275","TRINITY_DN10767_c0_g1"
"276","TRINITY_DN3543_c0_g1"
"277","TRINITY_DN4124_c0_g1"
"278","TRINITY_DN10756_c0_g1"
"279","TRINITY_DN9880_c1_g1"
"280","TRINITY_DN33240_c0_g1"
"281","TRINITY_DN38297_c0_g1"
"282","TRINITY_DN72_c0_g1"
"283","TRINITY_DN13678_c0_g1"
"284","TRINITY_DN5654_c0_g2"
"285","TRINITY_DN9124_c0_g1"
"286","TRINITY_DN15478_c0_g1"
"287","TRINITY_DN15452_c0_g1"
"288","TRINITY_DN31207_c0_g1"
"289","TRINITY_DN42371_c0_g1"
"290","TRINITY_DN41705_c0_g1"
"291","TRINITY_DN20244_c0_g1"
"292","TRINITY_DN4538_c0_g1"
"293","TRINITY_DN8008_c0_g2"
"294","TRINITY_DN8147_c0_g2"
"295","TRINITY_DN2819_c1_g1"
"296","TRINITY_DN10612_c0_g1"
"297","TRINITY_DN10276_c0_g1"
"298","TRINITY_DN40015_c0_g1"
"299","TRINITY_DN43668_c0_g1"
"300","TRINITY_DN17602_c0_g1"
"301","TRINITY_DN6651_c0_g1"
