"","BlueGeneNames"
"667","TRINITY_DN38104_c0_g1"
"668","TRINITY_DN9114_c0_g1"
"669","TRINITY_DN1505_c0_g1"
"670","TRINITY_DN21770_c0_g1"
"671","TRINITY_DN2305_c1_g1"
"672","TRINITY_DN2453_c1_g2"
"673","TRINITY_DN2956_c0_g1"
"674","TRINITY_DN14782_c0_g1"
"675","TRINITY_DN3703_c6_g1"
"676","TRINITY_DN26112_c0_g1"
"677","TRINITY_DN2379_c1_g1"
"678","TRINITY_DN22468_c0_g1"
"679","TRINITY_DN329_c0_g1"
"680","TRINITY_DN29030_c0_g1"
"681","TRINITY_DN7574_c0_g1"
"682","TRINITY_DN59555_c0_g1"
"683","TRINITY_DN1982_c0_g1"
"684","TRINITY_DN23211_c0_g1"
"685","TRINITY_DN8486_c0_g1"
"686","TRINITY_DN30486_c0_g1"
"687","TRINITY_DN47561_c0_g1"
"688","TRINITY_DN47923_c0_g1"
"689","TRINITY_DN20120_c0_g1"
"690","TRINITY_DN1097_c0_g1"
"691","TRINITY_DN9968_c1_g1"
"692","TRINITY_DN12712_c0_g3"
"693","TRINITY_DN448_c0_g1"
"694","TRINITY_DN6913_c0_g1"
"695","TRINITY_DN33000_c0_g1"
"696","TRINITY_DN11022_c0_g1"
"697","TRINITY_DN3535_c0_g1"
"698","TRINITY_DN29920_c0_g1"
"699","TRINITY_DN25159_c0_g1"
"700","TRINITY_DN29255_c0_g1"
"701","TRINITY_DN7945_c0_g1"
"702","TRINITY_DN1781_c0_g1"
"703","TRINITY_DN24704_c0_g1"
"704","TRINITY_DN18618_c2_g1"
"705","TRINITY_DN10401_c0_g1"
"706","TRINITY_DN5102_c0_g2"
"707","TRINITY_DN13198_c0_g1"
"708","TRINITY_DN17898_c0_g1"
"709","TRINITY_DN4144_c0_g1"
"710","TRINITY_DN4729_c0_g1"
"711","TRINITY_DN8491_c0_g1"
"712","TRINITY_DN23595_c0_g1"
"713","TRINITY_DN17768_c0_g1"
"714","TRINITY_DN161_c0_g1"
"715","TRINITY_DN55791_c0_g1"
"716","TRINITY_DN27260_c0_g1"
"717","TRINITY_DN30989_c0_g1"
"718","TRINITY_DN41685_c0_g1"
"719","TRINITY_DN67907_c0_g1"
"720","TRINITY_DN25626_c0_g1"
"721","TRINITY_DN2740_c0_g1"
"722","TRINITY_DN4251_c0_g1"
"723","TRINITY_DN10678_c2_g2"
"724","TRINITY_DN14493_c0_g1"
"725","TRINITY_DN1344_c0_g1"
"726","TRINITY_DN2267_c0_g1"
"727","TRINITY_DN8626_c0_g1"
"728","TRINITY_DN19857_c0_g1"
"729","TRINITY_DN49043_c0_g2"
"730","TRINITY_DN658_c0_g1"
"731","TRINITY_DN7000_c0_g2"
"732","TRINITY_DN4434_c0_g1"
"733","TRINITY_DN5039_c0_g1"
"734","TRINITY_DN17337_c0_g1"
"735","TRINITY_DN5256_c0_g1"
"736","TRINITY_DN747_c1_g1"
"737","TRINITY_DN432_c5_g1"
"738","TRINITY_DN20970_c0_g1"
"739","TRINITY_DN5260_c0_g1"
"740","TRINITY_DN5771_c1_g1"
"741","TRINITY_DN8561_c0_g1"
"742","TRINITY_DN54307_c0_g1"
"743","TRINITY_DN32416_c0_g1"
"744","TRINITY_DN29909_c0_g1"
"745","TRINITY_DN11169_c0_g1"
"746","TRINITY_DN7916_c0_g1"
"747","TRINITY_DN28595_c0_g1"
"748","TRINITY_DN4962_c0_g1"
"749","TRINITY_DN25835_c0_g1"
"750","TRINITY_DN1893_c0_g1"
"751","TRINITY_DN1799_c0_g1"
"752","TRINITY_DN1515_c0_g1"
"753","TRINITY_DN1229_c0_g1"
"754","TRINITY_DN1769_c0_g1"
"755","TRINITY_DN5000_c0_g1"
"756","TRINITY_DN21666_c0_g1"
"757","TRINITY_DN1704_c0_g1"
"758","TRINITY_DN17176_c0_g1"
"759","TRINITY_DN28600_c0_g1"
"760","TRINITY_DN8691_c0_g1"
"761","TRINITY_DN2757_c0_g1"
"762","TRINITY_DN17954_c0_g1"
"763","TRINITY_DN3485_c0_g3"
"764","TRINITY_DN16086_c0_g1"
"765","TRINITY_DN1150_c0_g1"
"766","TRINITY_DN11986_c0_g1"
"767","TRINITY_DN5292_c0_g1"
"768","TRINITY_DN4798_c1_g2"
"769","TRINITY_DN26232_c0_g1"
"770","TRINITY_DN5150_c0_g2"
"771","TRINITY_DN42403_c0_g1"
"772","TRINITY_DN6137_c0_g1"
"773","TRINITY_DN27994_c0_g1"
"774","TRINITY_DN8544_c0_g1"
"775","TRINITY_DN4355_c0_g1"
"776","TRINITY_DN8760_c1_g1"
"777","TRINITY_DN15742_c0_g1"
"778","TRINITY_DN40320_c0_g1"
"779","TRINITY_DN7516_c0_g1"
"780","TRINITY_DN8882_c0_g1"
"781","TRINITY_DN7867_c0_g1"
"782","TRINITY_DN5638_c1_g2"
"783","TRINITY_DN19687_c0_g1"
"784","TRINITY_DN33119_c0_g1"
"785","TRINITY_DN9117_c0_g1"
"786","TRINITY_DN3540_c0_g2"
"787","TRINITY_DN54088_c0_g1"
"788","TRINITY_DN1644_c0_g1"
"789","TRINITY_DN3322_c0_g1"
"790","TRINITY_DN66054_c0_g1"
"791","TRINITY_DN85602_c0_g1"
"792","TRINITY_DN76517_c0_g1"
"793","TRINITY_DN33934_c0_g1"
"794","TRINITY_DN43122_c0_g1"
"795","TRINITY_DN5401_c0_g1"
"796","TRINITY_DN10079_c0_g1"
"797","TRINITY_DN56091_c0_g1"
"798","TRINITY_DN7369_c0_g1"
"799","TRINITY_DN1556_c0_g1"
"800","TRINITY_DN13974_c0_g1"
"801","TRINITY_DN16717_c0_g1"
"802","TRINITY_DN28201_c0_g1"
"803","TRINITY_DN21854_c0_g1"
"804","TRINITY_DN10339_c0_g1"
"805","TRINITY_DN14038_c0_g1"
"806","TRINITY_DN2733_c1_g1"
"807","TRINITY_DN16236_c0_g1"
"808","TRINITY_DN1400_c0_g1"
"809","TRINITY_DN1968_c0_g1"
"810","TRINITY_DN19408_c1_g1"
"811","TRINITY_DN6334_c0_g1"
"812","TRINITY_DN10755_c0_g1"
"813","TRINITY_DN2553_c0_g1"
"814","TRINITY_DN37570_c0_g1"
"815","TRINITY_DN17941_c0_g1"
"816","TRINITY_DN5503_c1_g1"
"817","TRINITY_DN4617_c0_g1"
"818","TRINITY_DN6108_c3_g1"
"819","TRINITY_DN9539_c0_g1"
"820","TRINITY_DN43346_c0_g1"
"821","TRINITY_DN19819_c0_g1"
"822","TRINITY_DN29013_c0_g1"
"823","TRINITY_DN2683_c0_g1"
"824","TRINITY_DN45722_c0_g1"
"825","TRINITY_DN4892_c0_g1"
"826","TRINITY_DN38427_c0_g1"
"827","TRINITY_DN4875_c0_g1"
"828","TRINITY_DN7234_c0_g1"
"829","TRINITY_DN5349_c0_g1"
"830","TRINITY_DN2944_c0_g1"
"831","TRINITY_DN31614_c1_g1"
"832","TRINITY_DN95422_c0_g1"
"833","TRINITY_DN10614_c0_g1"
"834","TRINITY_DN23325_c0_g1"
"835","TRINITY_DN8621_c0_g1"
"836","TRINITY_DN6635_c0_g1"
"837","TRINITY_DN28206_c0_g1"
"838","TRINITY_DN9159_c0_g1"
"839","TRINITY_DN49432_c0_g1"
"840","TRINITY_DN17348_c0_g1"
"841","TRINITY_DN7697_c0_g1"
"842","TRINITY_DN31794_c0_g1"
"843","TRINITY_DN8174_c0_g1"
"844","TRINITY_DN6214_c0_g3"
"845","TRINITY_DN15132_c0_g1"
"846","TRINITY_DN70991_c0_g1"
"847","TRINITY_DN30041_c0_g1"
"848","TRINITY_DN77128_c0_g1"
"849","TRINITY_DN4974_c0_g2"
"850","TRINITY_DN28153_c0_g1"
"851","TRINITY_DN5730_c0_g1"
"852","TRINITY_DN8109_c0_g1"
"853","TRINITY_DN37044_c0_g1"
"854","TRINITY_DN9291_c0_g1"
"855","TRINITY_DN19983_c0_g1"
"856","TRINITY_DN6744_c0_g1"
"857","TRINITY_DN28582_c1_g1"
"858","TRINITY_DN8672_c2_g1"
"859","TRINITY_DN4730_c0_g1"
"860","TRINITY_DN440_c0_g1"
"861","TRINITY_DN21205_c0_g1"
"862","TRINITY_DN14527_c1_g1"
"863","TRINITY_DN29405_c0_g1"
"864","TRINITY_DN32231_c0_g1"
"865","TRINITY_DN28409_c0_g1"
"866","TRINITY_DN28205_c0_g1"
"867","TRINITY_DN5247_c0_g1"
"868","TRINITY_DN19279_c0_g1"
"869","TRINITY_DN25066_c0_g1"
"870","TRINITY_DN41697_c0_g1"
"871","TRINITY_DN33875_c0_g1"
"872","TRINITY_DN27918_c0_g1"
"873","TRINITY_DN73443_c0_g1"
"874","TRINITY_DN51152_c0_g1"
"875","TRINITY_DN6686_c1_g1"
"876","TRINITY_DN4621_c0_g1"
"877","TRINITY_DN19517_c0_g1"
"878","TRINITY_DN26279_c0_g1"
"879","TRINITY_DN43383_c0_g1"
"880","TRINITY_DN5440_c0_g1"
"881","TRINITY_DN398_c0_g1"
"882","TRINITY_DN11475_c0_g1"
"883","TRINITY_DN28897_c3_g1"
"884","TRINITY_DN3108_c1_g1"
"885","TRINITY_DN12309_c0_g2"
"886","TRINITY_DN2171_c0_g1"
"887","TRINITY_DN772_c0_g1"
"888","TRINITY_DN14354_c0_g1"
"889","TRINITY_DN16775_c0_g1"
"890","TRINITY_DN6004_c0_g1"
"891","TRINITY_DN12233_c0_g1"
"892","TRINITY_DN28032_c0_g1"
"893","TRINITY_DN30160_c0_g1"
"894","TRINITY_DN11139_c0_g1"
"895","TRINITY_DN16313_c0_g1"
"896","TRINITY_DN2116_c0_g1"
"897","TRINITY_DN4981_c0_g1"
"898","TRINITY_DN8811_c3_g1"
"899","TRINITY_DN7181_c0_g1"
"900","TRINITY_DN7085_c0_g1"
"901","TRINITY_DN19626_c0_g1"
"902","TRINITY_DN7458_c0_g1"
"903","TRINITY_DN8718_c0_g1"
"904","TRINITY_DN11277_c0_g1"
"905","TRINITY_DN6199_c0_g1"
"906","TRINITY_DN47802_c0_g1"
"907","TRINITY_DN59027_c0_g1"
"908","TRINITY_DN40485_c0_g1"
"909","TRINITY_DN12339_c0_g1"
"910","TRINITY_DN28102_c0_g1"
"911","TRINITY_DN18813_c0_g1"
"912","TRINITY_DN6805_c0_g1"
"913","TRINITY_DN23939_c0_g1"
"914","TRINITY_DN122_c7_g1"
"915","TRINITY_DN3610_c0_g1"
"916","TRINITY_DN19936_c1_g1"
"917","TRINITY_DN13352_c0_g1"
"918","TRINITY_DN29645_c0_g1"
"919","TRINITY_DN3505_c0_g1"
"920","TRINITY_DN262_c0_g1"
"921","TRINITY_DN4366_c0_g1"
"922","TRINITY_DN12225_c0_g1"
"923","TRINITY_DN23617_c0_g1"
"924","TRINITY_DN417_c0_g1"
"925","TRINITY_DN2991_c0_g2"
"926","TRINITY_DN987_c1_g2"
"927","TRINITY_DN52478_c0_g1"
"928","TRINITY_DN11547_c0_g1"
"929","TRINITY_DN13144_c0_g1"
"930","TRINITY_DN4095_c0_g2"
"931","TRINITY_DN1253_c0_g1"
"932","TRINITY_DN5477_c0_g1"
"933","TRINITY_DN10437_c0_g1"
"934","TRINITY_DN33267_c0_g1"
"935","TRINITY_DN489_c0_g1"
"936","TRINITY_DN3281_c0_g1"
"937","TRINITY_DN11905_c0_g1"
"938","TRINITY_DN4573_c0_g1"
"939","TRINITY_DN20297_c0_g1"
"940","TRINITY_DN17504_c0_g1"
"941","TRINITY_DN45828_c0_g1"
"942","TRINITY_DN15323_c0_g1"
"943","TRINITY_DN3792_c1_g1"
"944","TRINITY_DN445_c1_g1"
"945","TRINITY_DN4606_c0_g1"
"946","TRINITY_DN2914_c0_g1"
"947","TRINITY_DN547_c0_g1"
"948","TRINITY_DN15517_c0_g1"
"949","TRINITY_DN1708_c0_g1"
"950","TRINITY_DN10206_c0_g1"
"951","TRINITY_DN36114_c1_g1"
"952","TRINITY_DN2573_c0_g1"
"953","TRINITY_DN9802_c0_g1"
"954","TRINITY_DN6672_c0_g4"
"955","TRINITY_DN7524_c0_g1"
"956","TRINITY_DN38311_c0_g1"
"957","TRINITY_DN892_c0_g1"
"958","TRINITY_DN2508_c0_g1"
"959","TRINITY_DN4882_c0_g1"
"960","TRINITY_DN3269_c0_g1"
"961","TRINITY_DN20407_c0_g1"
"962","TRINITY_DN14880_c0_g1"
"963","TRINITY_DN13584_c0_g1"
"964","TRINITY_DN10514_c0_g1"
"965","TRINITY_DN9052_c0_g2"
"966","TRINITY_DN2456_c0_g1"
"967","TRINITY_DN1122_c0_g1"
"968","TRINITY_DN9608_c2_g1"
"969","TRINITY_DN34934_c0_g1"
"970","TRINITY_DN36036_c0_g1"
"971","TRINITY_DN2966_c0_g1"
"972","TRINITY_DN38211_c0_g1"
"973","TRINITY_DN44941_c0_g1"
"974","TRINITY_DN1973_c0_g1"
"975","TRINITY_DN54144_c0_g1"
"976","TRINITY_DN13447_c2_g1"
"977","TRINITY_DN1832_c0_g1"
"978","TRINITY_DN4920_c0_g1"
"979","TRINITY_DN7337_c0_g1"
"980","TRINITY_DN17841_c0_g1"
"981","TRINITY_DN4717_c0_g1"
"982","TRINITY_DN51564_c0_g1"
"983","TRINITY_DN25388_c0_g1"
"984","TRINITY_DN4630_c0_g2"
"985","TRINITY_DN6507_c0_g1"
"986","TRINITY_DN27706_c0_g2"
"987","TRINITY_DN4994_c0_g1"
"988","TRINITY_DN551_c1_g1"
"989","TRINITY_DN22479_c0_g1"
"990","TRINITY_DN14142_c0_g1"
"991","TRINITY_DN26172_c0_g1"
"992","TRINITY_DN588_c0_g1"
"993","TRINITY_DN4057_c2_g1"
"994","TRINITY_DN1363_c0_g1"
"995","TRINITY_DN1457_c0_g2"
"996","TRINITY_DN38368_c0_g1"
"997","TRINITY_DN48762_c0_g1"
"998","TRINITY_DN12242_c0_g1"
"999","TRINITY_DN38740_c0_g1"
"1000","TRINITY_DN31887_c0_g1"
"1001","TRINITY_DN3689_c1_g1"
"1002","TRINITY_DN6148_c0_g1"
"1003","TRINITY_DN21893_c0_g1"
"1004","TRINITY_DN3914_c0_g1"
"1005","TRINITY_DN13832_c0_g1"
"1006","TRINITY_DN2187_c2_g1"
"1007","TRINITY_DN25460_c0_g1"
"1008","TRINITY_DN4651_c0_g2"
"1009","TRINITY_DN5272_c0_g1"
"1010","TRINITY_DN7934_c0_g1"
"1011","TRINITY_DN24945_c0_g1"
"1012","TRINITY_DN1442_c0_g1"
"1013","TRINITY_DN8598_c0_g1"
"1014","TRINITY_DN39398_c0_g1"
"1015","TRINITY_DN2575_c0_g2"
"1016","TRINITY_DN11153_c1_g1"
"1017","TRINITY_DN31023_c0_g1"
"1018","TRINITY_DN9575_c0_g1"
"1019","TRINITY_DN8317_c0_g1"
"1020","TRINITY_DN13033_c0_g1"
"1021","TRINITY_DN7839_c0_g1"
"1022","TRINITY_DN4079_c0_g1"
"1023","TRINITY_DN591_c0_g1"
"1024","TRINITY_DN20553_c0_g1"
"1025","TRINITY_DN1429_c0_g1"
"1026","TRINITY_DN3100_c0_g1"
"1027","TRINITY_DN14655_c0_g1"
"1028","TRINITY_DN27354_c0_g1"
"1029","TRINITY_DN1537_c0_g3"
"1030","TRINITY_DN760_c0_g1"
"1031","TRINITY_DN47241_c0_g1"
"1032","TRINITY_DN2158_c0_g1"
"1033","TRINITY_DN2863_c2_g1"
"1034","TRINITY_DN9073_c0_g1"
"1035","TRINITY_DN18073_c0_g1"
"1036","TRINITY_DN26590_c0_g1"
"1037","TRINITY_DN40403_c0_g1"
"1038","TRINITY_DN5727_c0_g1"
"1039","TRINITY_DN5775_c0_g1"
"1040","TRINITY_DN16834_c0_g1"
"1041","TRINITY_DN13530_c0_g1"
"1042","TRINITY_DN14747_c0_g1"
"1043","TRINITY_DN9399_c0_g1"
"1044","TRINITY_DN28921_c0_g1"
"1045","TRINITY_DN9931_c0_g1"
"1046","TRINITY_DN18181_c2_g1"
"1047","TRINITY_DN8959_c0_g1"
"1048","TRINITY_DN1209_c0_g1"
"1049","TRINITY_DN3742_c0_g1"
"1050","TRINITY_DN184_c0_g1"
"1051","TRINITY_DN11605_c0_g1"
"1052","TRINITY_DN31115_c0_g1"
"1053","TRINITY_DN104494_c0_g1"
"1054","TRINITY_DN3063_c0_g1"
"1055","TRINITY_DN921_c0_g1"
"1056","TRINITY_DN28647_c0_g1"
"1057","TRINITY_DN839_c0_g1"
"1058","TRINITY_DN23131_c0_g1"
"1059","TRINITY_DN313_c0_g1"
"1060","TRINITY_DN21607_c0_g1"
"1061","TRINITY_DN14648_c0_g1"
"1062","TRINITY_DN4159_c0_g1"
"1063","TRINITY_DN4291_c0_g1"
"1064","TRINITY_DN11750_c0_g1"
"1065","TRINITY_DN35409_c0_g1"
"1066","TRINITY_DN10737_c0_g1"
"1067","TRINITY_DN35935_c0_g1"
"1068","TRINITY_DN53503_c0_g1"
"1069","TRINITY_DN33584_c0_g1"
"1070","TRINITY_DN8445_c0_g1"
"1071","TRINITY_DN14770_c0_g1"
"1072","TRINITY_DN22724_c0_g2"
"1073","TRINITY_DN28228_c0_g1"
"1074","TRINITY_DN8064_c0_g1"
"1075","TRINITY_DN5593_c0_g1"
"1076","TRINITY_DN19923_c0_g1"
"1077","TRINITY_DN59629_c0_g1"
"1078","TRINITY_DN6236_c0_g1"
"1079","TRINITY_DN676_c2_g1"
"1080","TRINITY_DN60997_c0_g1"
"1081","TRINITY_DN1671_c0_g2"
"1082","TRINITY_DN2814_c0_g1"
"1083","TRINITY_DN12958_c0_g1"
"1084","TRINITY_DN1671_c0_g1"
"1085","TRINITY_DN22526_c0_g1"
"1086","TRINITY_DN718_c0_g1"
"1087","TRINITY_DN18198_c0_g1"
"1088","TRINITY_DN4629_c0_g1"
"1089","TRINITY_DN2516_c0_g1"
"1090","TRINITY_DN1358_c2_g1"
"1091","TRINITY_DN2605_c0_g1"
"1092","TRINITY_DN36441_c0_g1"
"1093","TRINITY_DN15441_c0_g1"
"1094","TRINITY_DN13608_c0_g1"
"1095","TRINITY_DN33117_c0_g1"
"1096","TRINITY_DN18247_c0_g1"
"1097","TRINITY_DN14988_c0_g1"
"1098","TRINITY_DN100_c0_g1"
"1099","TRINITY_DN1787_c0_g1"
"1100","TRINITY_DN39738_c0_g1"
"1101","TRINITY_DN8744_c0_g1"
"1102","TRINITY_DN26388_c0_g1"
"1103","TRINITY_DN15756_c0_g1"
"1104","TRINITY_DN3169_c0_g1"
"1105","TRINITY_DN78842_c0_g1"
"1106","TRINITY_DN34079_c0_g1"
"1107","TRINITY_DN165_c2_g1"
"1108","TRINITY_DN21277_c0_g1"
"1109","TRINITY_DN101518_c0_g1"
"1110","TRINITY_DN1625_c0_g2"
"1111","TRINITY_DN14050_c0_g1"
"1112","TRINITY_DN26909_c0_g1"
"1113","TRINITY_DN15638_c0_g1"
"1114","TRINITY_DN20817_c2_g1"
"1115","TRINITY_DN30601_c0_g1"
"1116","TRINITY_DN7582_c0_g1"
"1117","TRINITY_DN19675_c0_g1"
"1118","TRINITY_DN38801_c1_g1"
"1119","TRINITY_DN7823_c3_g1"
"1120","TRINITY_DN56009_c0_g1"
"1121","TRINITY_DN17223_c0_g1"
"1122","TRINITY_DN35694_c0_g1"
"1123","TRINITY_DN76735_c0_g1"
"1124","TRINITY_DN842_c0_g1"
"1125","TRINITY_DN28979_c0_g1"
"1126","TRINITY_DN13207_c0_g1"
"1127","TRINITY_DN7220_c0_g1"
"1128","TRINITY_DN33561_c0_g2"
"1129","TRINITY_DN3788_c0_g1"
"1130","TRINITY_DN6388_c2_g1"
"1131","TRINITY_DN10957_c0_g1"
"1132","TRINITY_DN8824_c0_g1"
"1133","TRINITY_DN1462_c0_g2"
"1134","TRINITY_DN8324_c0_g1"
"1135","TRINITY_DN4819_c0_g1"
"1136","TRINITY_DN7635_c0_g1"
"1137","TRINITY_DN43924_c0_g1"
"1138","TRINITY_DN1321_c0_g1"
"1139","TRINITY_DN1302_c0_g1"
"1140","TRINITY_DN3485_c1_g1"
"1141","TRINITY_DN1670_c0_g1"
"1142","TRINITY_DN11904_c0_g1"
"1143","TRINITY_DN4658_c0_g1"
"1144","TRINITY_DN13129_c0_g1"
"1145","TRINITY_DN27718_c0_g1"
"1146","TRINITY_DN7360_c0_g1"
"1147","TRINITY_DN13647_c1_g1"
"1148","TRINITY_DN10392_c0_g1"
"1149","TRINITY_DN1639_c1_g1"
"1150","TRINITY_DN1239_c0_g1"
"1151","TRINITY_DN87712_c0_g2"
"1152","TRINITY_DN19552_c0_g1"
"1153","TRINITY_DN4279_c0_g1"
"1154","TRINITY_DN3047_c0_g1"
"1155","TRINITY_DN73774_c0_g1"
"1156","TRINITY_DN1358_c1_g1"
"1157","TRINITY_DN14971_c0_g1"
"1158","TRINITY_DN69103_c0_g1"
"1159","TRINITY_DN34432_c0_g1"
"1160","TRINITY_DN7924_c1_g1"
"1161","TRINITY_DN10143_c0_g1"
"1162","TRINITY_DN27855_c0_g1"
"1163","TRINITY_DN39646_c0_g1"
"1164","TRINITY_DN23205_c0_g1"
"1165","TRINITY_DN6171_c0_g1"
"1166","TRINITY_DN14246_c0_g1"
"1167","TRINITY_DN59742_c0_g1"
"1168","TRINITY_DN41241_c0_g1"
"1169","TRINITY_DN29290_c0_g3"
"1170","TRINITY_DN533_c1_g1"
"1171","TRINITY_DN1452_c0_g1"
"1172","TRINITY_DN4055_c0_g1"
"1173","TRINITY_DN6838_c1_g1"
"1174","TRINITY_DN4634_c0_g1"
"1175","TRINITY_DN6347_c0_g1"
"1176","TRINITY_DN5639_c0_g1"
"1177","TRINITY_DN20339_c0_g1"
"1178","TRINITY_DN48072_c0_g1"
"1179","TRINITY_DN7082_c0_g1"
"1180","TRINITY_DN16162_c0_g1"
"1181","TRINITY_DN63205_c0_g1"
"1182","TRINITY_DN68478_c0_g1"
"1183","TRINITY_DN3012_c0_g1"
"1184","TRINITY_DN24169_c0_g1"
"1185","TRINITY_DN32865_c0_g1"
"1186","TRINITY_DN4503_c0_g1"
"1187","TRINITY_DN62005_c0_g1"
"1188","TRINITY_DN6909_c2_g1"
"1189","TRINITY_DN11730_c0_g1"
"1190","TRINITY_DN3721_c0_g1"
"1191","TRINITY_DN15466_c0_g1"
"1192","TRINITY_DN50029_c0_g1"
"1193","TRINITY_DN7311_c0_g1"
"1194","TRINITY_DN2777_c0_g1"
"1195","TRINITY_DN43905_c0_g1"
"1196","TRINITY_DN35976_c0_g1"
"1197","TRINITY_DN39843_c0_g1"
"1198","TRINITY_DN8286_c0_g1"
"1199","TRINITY_DN2517_c0_g1"
"1200","TRINITY_DN36361_c0_g1"
"1201","TRINITY_DN49971_c0_g1"
"1202","TRINITY_DN10240_c0_g1"
"1203","TRINITY_DN99392_c0_g1"
"1204","TRINITY_DN5560_c0_g1"
"1205","TRINITY_DN19698_c0_g1"
"1206","TRINITY_DN15781_c0_g1"
"1207","TRINITY_DN22949_c0_g1"
"1208","TRINITY_DN67956_c0_g2"
"1209","TRINITY_DN5506_c0_g1"
"1210","TRINITY_DN5534_c0_g2"
"1211","TRINITY_DN34025_c0_g1"
"1212","TRINITY_DN20011_c0_g1"
"1213","TRINITY_DN6856_c0_g1"
"1214","TRINITY_DN1387_c0_g1"
"1215","TRINITY_DN53781_c0_g1"
"1216","TRINITY_DN14514_c1_g1"
"1217","TRINITY_DN11083_c0_g1"
"1218","TRINITY_DN7447_c0_g1"
"1219","TRINITY_DN40822_c0_g1"
"1220","TRINITY_DN5765_c1_g1"
"1221","TRINITY_DN26218_c0_g1"
"1222","TRINITY_DN19988_c0_g1"
"1223","TRINITY_DN50026_c0_g1"
"1224","TRINITY_DN29061_c0_g1"
"1225","TRINITY_DN13179_c0_g1"
"1226","TRINITY_DN6561_c0_g1"
"1227","TRINITY_DN8507_c0_g1"
"1228","TRINITY_DN736_c0_g1"
"1229","TRINITY_DN178_c1_g1"
"1230","TRINITY_DN37330_c0_g1"
"1231","TRINITY_DN2582_c1_g1"
"1232","TRINITY_DN31172_c0_g1"
"1233","TRINITY_DN1521_c0_g1"
"1234","TRINITY_DN11496_c1_g1"
"1235","TRINITY_DN33412_c0_g1"
"1236","TRINITY_DN1615_c0_g1"
"1237","TRINITY_DN31400_c0_g1"
"1238","TRINITY_DN39144_c0_g1"
"1239","TRINITY_DN232_c0_g1"
"1240","TRINITY_DN4204_c0_g1"
"1241","TRINITY_DN17340_c0_g1"
"1242","TRINITY_DN54994_c0_g1"
"1243","TRINITY_DN33789_c0_g1"
"1244","TRINITY_DN2800_c0_g1"
"1245","TRINITY_DN10145_c0_g1"
"1246","TRINITY_DN35173_c0_g1"
"1247","TRINITY_DN13676_c0_g1"
"1248","TRINITY_DN865_c0_g1"
"1249","TRINITY_DN6426_c0_g1"
"1250","TRINITY_DN6597_c0_g1"
"1251","TRINITY_DN10418_c0_g1"
"1252","TRINITY_DN5762_c3_g1"
"1253","TRINITY_DN2113_c2_g1"
"1254","TRINITY_DN45463_c0_g1"
"1255","TRINITY_DN9635_c0_g1"
"1256","TRINITY_DN1211_c0_g1"
"1257","TRINITY_DN15282_c0_g2"
"1258","TRINITY_DN20705_c0_g1"
"1259","TRINITY_DN6689_c0_g1"
"1260","TRINITY_DN21890_c0_g1"
"1261","TRINITY_DN18659_c0_g2"
"1262","TRINITY_DN3827_c3_g1"
"1263","TRINITY_DN8601_c2_g1"
"1264","TRINITY_DN5617_c0_g1"
"1265","TRINITY_DN516_c1_g1"
"1266","TRINITY_DN5194_c0_g1"
"1267","TRINITY_DN6108_c0_g1"
"1268","TRINITY_DN27090_c0_g1"
"1269","TRINITY_DN2730_c0_g1"
"1270","TRINITY_DN14834_c0_g1"
"1271","TRINITY_DN50635_c0_g1"
"1272","TRINITY_DN36600_c0_g1"
"1273","TRINITY_DN4364_c0_g1"
"1274","TRINITY_DN55231_c0_g1"
"1275","TRINITY_DN12466_c0_g1"
"1276","TRINITY_DN15306_c0_g1"
"1277","TRINITY_DN50985_c0_g1"
"1278","TRINITY_DN62268_c0_g1"
"1279","TRINITY_DN16563_c0_g1"
"1280","TRINITY_DN18439_c0_g1"
"1281","TRINITY_DN21011_c0_g1"
"1282","TRINITY_DN53775_c0_g1"
"1283","TRINITY_DN981_c0_g1"
"1284","TRINITY_DN4059_c0_g1"
"1285","TRINITY_DN10416_c0_g1"
"1286","TRINITY_DN53_c0_g1"
"1287","TRINITY_DN23109_c0_g1"
"1288","TRINITY_DN4947_c1_g1"
"1289","TRINITY_DN1204_c0_g2"
"1290","TRINITY_DN10747_c0_g1"
"1291","TRINITY_DN52179_c0_g1"
"1292","TRINITY_DN8509_c1_g2"
"1293","TRINITY_DN52763_c0_g1"
"1294","TRINITY_DN22965_c0_g1"
"1295","TRINITY_DN46617_c0_g1"
"1296","TRINITY_DN13860_c0_g1"
"1297","TRINITY_DN18733_c0_g1"
"1298","TRINITY_DN376_c0_g1"
"1299","TRINITY_DN29537_c0_g1"
"1300","TRINITY_DN1319_c0_g1"
"1301","TRINITY_DN2844_c1_g1"
"1302","TRINITY_DN5354_c0_g1"
"1303","TRINITY_DN20561_c0_g1"
"1304","TRINITY_DN3604_c0_g1"
"1305","TRINITY_DN60036_c0_g1"
"1306","TRINITY_DN21611_c0_g1"
"1307","TRINITY_DN30778_c0_g2"
"1308","TRINITY_DN13551_c0_g1"
"1309","TRINITY_DN14579_c0_g1"
"1310","TRINITY_DN6918_c0_g1"
"1311","TRINITY_DN7316_c0_g1"
"1312","TRINITY_DN50090_c0_g1"
"1313","TRINITY_DN10863_c0_g1"
"1314","TRINITY_DN29203_c0_g1"
"1315","TRINITY_DN3334_c0_g1"
"1316","TRINITY_DN79436_c0_g1"
"1317","TRINITY_DN25558_c0_g1"
"1318","TRINITY_DN6808_c0_g1"
