"","BlueGeneNames"
"154","TRINITY_DN18880_c0_g1"
"155","TRINITY_DN2167_c0_g2"
"156","TRINITY_DN3802_c0_g1"
"157","TRINITY_DN266_c0_g1"
"158","TRINITY_DN4262_c0_g1"
"159","TRINITY_DN2038_c0_g1"
"160","TRINITY_DN1107_c1_g1"
"161","TRINITY_DN1979_c0_g1"
"162","TRINITY_DN3228_c0_g1"
"163","TRINITY_DN4843_c0_g1"
"164","TRINITY_DN4045_c0_g1"
"165","TRINITY_DN2871_c1_g1"
"166","TRINITY_DN9715_c0_g1"
"167","TRINITY_DN9238_c0_g1"
"168","TRINITY_DN10669_c0_g1"
"169","TRINITY_DN28981_c0_g1"
"170","TRINITY_DN980_c0_g1"
"171","TRINITY_DN2433_c0_g1"
"172","TRINITY_DN4220_c2_g1"
"173","TRINITY_DN11393_c0_g1"
"174","TRINITY_DN6506_c0_g1"
"175","TRINITY_DN2590_c2_g1"
"176","TRINITY_DN2302_c0_g1"
"177","TRINITY_DN15395_c0_g1"
"178","TRINITY_DN4164_c0_g1"
"179","TRINITY_DN2558_c0_g1"
"180","TRINITY_DN729_c0_g1"
"181","TRINITY_DN16975_c0_g1"
"182","TRINITY_DN7801_c0_g1"
"183","TRINITY_DN4373_c0_g1"
"184","TRINITY_DN1583_c0_g1"
"185","TRINITY_DN505_c0_g1"
"186","TRINITY_DN12499_c0_g1"
"187","TRINITY_DN1470_c0_g1"
"188","TRINITY_DN5055_c0_g1"
"189","TRINITY_DN2494_c0_g1"
"190","TRINITY_DN14929_c0_g1"
"191","TRINITY_DN18149_c0_g1"
"192","TRINITY_DN1755_c0_g1"
"193","TRINITY_DN13023_c0_g1"
"194","TRINITY_DN22977_c0_g1"
"195","TRINITY_DN23616_c0_g1"
"196","TRINITY_DN15167_c0_g1"
"197","TRINITY_DN6740_c0_g1"
"198","TRINITY_DN4558_c0_g1"
"199","TRINITY_DN1099_c0_g2"
"200","TRINITY_DN14431_c0_g1"
"201","TRINITY_DN8072_c0_g1"
"202","TRINITY_DN2998_c0_g1"
"203","TRINITY_DN14107_c0_g1"
"204","TRINITY_DN12625_c0_g1"
