"","pinkGeneNames"
"153","TRINITY_DN5610_c0_g1"
"154","TRINITY_DN60277_c0_g1"
"155","TRINITY_DN29671_c1_g1"
"156","TRINITY_DN11796_c0_g1"
"157","TRINITY_DN3471_c0_g1"
"158","TRINITY_DN1793_c1_g1"
"159","TRINITY_DN18804_c0_g1"
"160","TRINITY_DN8243_c0_g2"
"161","TRINITY_DN8306_c0_g1"
"162","TRINITY_DN7894_c0_g1"
"163","TRINITY_DN3357_c0_g1"
"164","TRINITY_DN306_c0_g1"
"165","TRINITY_DN6000_c0_g1"
"166","TRINITY_DN31767_c0_g1"
"167","TRINITY_DN10137_c0_g1"
"168","TRINITY_DN6044_c0_g2"
"169","TRINITY_DN1602_c0_g1"
"170","TRINITY_DN11019_c0_g1"
"171","TRINITY_DN2207_c0_g1"
"172","TRINITY_DN6671_c0_g1"
"173","TRINITY_DN13520_c0_g1"
"174","TRINITY_DN3335_c0_g1"
"175","TRINITY_DN11279_c0_g1"
"176","TRINITY_DN264_c0_g1"
"177","TRINITY_DN2469_c0_g1"
"178","TRINITY_DN9178_c0_g1"
"179","TRINITY_DN10057_c0_g1"
"180","TRINITY_DN64_c0_g1"
"181","TRINITY_DN87_c0_g1"
"182","TRINITY_DN634_c0_g1"
"183","TRINITY_DN4515_c0_g1"
"184","TRINITY_DN14259_c0_g1"
"185","TRINITY_DN2280_c0_g1"
"186","TRINITY_DN7490_c0_g2"
"187","TRINITY_DN430_c0_g1"
"188","TRINITY_DN5792_c0_g1"
"189","TRINITY_DN10197_c0_g1"
"190","TRINITY_DN5972_c0_g1"
"191","TRINITY_DN15119_c0_g1"
"192","TRINITY_DN6116_c0_g1"
"193","TRINITY_DN9232_c0_g1"
"194","TRINITY_DN11320_c0_g1"
"195","TRINITY_DN13072_c0_g1"
"196","TRINITY_DN2837_c0_g1"
"197","TRINITY_DN4743_c0_g1"
"198","TRINITY_DN10636_c0_g1"
"199","TRINITY_DN42227_c0_g1"
"200","TRINITY_DN825_c0_g1"
"201","TRINITY_DN4546_c0_g1"
"202","TRINITY_DN8749_c0_g1"
"203","TRINITY_DN10753_c0_g1"
"204","TRINITY_DN1822_c0_g1"
"205","TRINITY_DN9597_c0_g1"
"206","TRINITY_DN420_c0_g1"
"207","TRINITY_DN12344_c0_g1"
"208","TRINITY_DN3152_c0_g1"
"209","TRINITY_DN7983_c0_g1"
"210","TRINITY_DN824_c0_g1"
"211","TRINITY_DN6164_c0_g1"
"212","TRINITY_DN4294_c0_g2"
"213","TRINITY_DN1565_c0_g1"
"214","TRINITY_DN26465_c0_g1"
