"","turqGeneNames"
"667","TRINITY_DN8423_c0_g1"
"668","TRINITY_DN29587_c0_g1"
"669","TRINITY_DN5591_c0_g1"
"670","TRINITY_DN2584_c0_g2"
"671","TRINITY_DN9912_c0_g1"
"672","TRINITY_DN14639_c0_g1"
"673","TRINITY_DN6131_c0_g1"
"674","TRINITY_DN6438_c0_g1"
"675","TRINITY_DN8158_c0_g1"
"676","TRINITY_DN10155_c0_g1"
"677","TRINITY_DN5017_c0_g1"
"678","TRINITY_DN23866_c0_g1"
"679","TRINITY_DN29786_c0_g1"
"680","TRINITY_DN12494_c0_g1"
"681","TRINITY_DN27654_c0_g1"
"682","TRINITY_DN277_c0_g1"
"683","TRINITY_DN7482_c0_g1"
"684","TRINITY_DN10714_c0_g1"
"685","TRINITY_DN1537_c0_g1"
"686","TRINITY_DN7361_c0_g1"
"687","TRINITY_DN1889_c0_g1"
"688","TRINITY_DN14808_c0_g1"
"689","TRINITY_DN6846_c0_g1"
"690","TRINITY_DN5468_c0_g1"
"691","TRINITY_DN17942_c0_g1"
"692","TRINITY_DN1718_c0_g1"
"693","TRINITY_DN15984_c1_g1"
"694","TRINITY_DN12639_c0_g1"
"695","TRINITY_DN4524_c0_g1"
"696","TRINITY_DN1284_c0_g1"
"697","TRINITY_DN8536_c0_g1"
"698","TRINITY_DN9375_c0_g1"
"699","TRINITY_DN12078_c0_g1"
"700","TRINITY_DN17937_c0_g1"
"701","TRINITY_DN11177_c0_g1"
"702","TRINITY_DN13723_c0_g1"
"703","TRINITY_DN67_c0_g1"
"704","TRINITY_DN962_c0_g1"
"705","TRINITY_DN17746_c0_g1"
"706","TRINITY_DN12321_c0_g1"
"707","TRINITY_DN199_c0_g1"
"708","TRINITY_DN44577_c0_g1"
"709","TRINITY_DN1190_c2_g1"
"710","TRINITY_DN10970_c0_g1"
"711","TRINITY_DN382_c1_g1"
"712","TRINITY_DN8969_c0_g1"
"713","TRINITY_DN443_c0_g1"
"714","TRINITY_DN4054_c0_g1"
"715","TRINITY_DN17132_c0_g1"
"716","TRINITY_DN8007_c0_g1"
"717","TRINITY_DN46690_c0_g1"
"718","TRINITY_DN698_c0_g1"
"719","TRINITY_DN6200_c0_g1"
"720","TRINITY_DN7776_c0_g1"
"721","TRINITY_DN11207_c0_g1"
"722","TRINITY_DN1638_c0_g1"
"723","TRINITY_DN3156_c0_g1"
"724","TRINITY_DN2682_c0_g1"
"725","TRINITY_DN5357_c0_g1"
"726","TRINITY_DN2743_c0_g1"
"727","TRINITY_DN2491_c0_g1"
"728","TRINITY_DN251_c0_g1"
"729","TRINITY_DN3396_c0_g1"
"730","TRINITY_DN8374_c0_g1"
"731","TRINITY_DN12532_c0_g1"
"732","TRINITY_DN27634_c0_g2"
"733","TRINITY_DN2648_c0_g2"
"734","TRINITY_DN1202_c0_g1"
"735","TRINITY_DN6322_c0_g2"
"736","TRINITY_DN6648_c0_g1"
"737","TRINITY_DN11021_c0_g1"
"738","TRINITY_DN15235_c0_g1"
"739","TRINITY_DN8699_c5_g1"
"740","TRINITY_DN46410_c0_g1"
"741","TRINITY_DN2572_c2_g1"
"742","TRINITY_DN2024_c0_g1"
"743","TRINITY_DN12357_c0_g1"
"744","TRINITY_DN6234_c0_g1"
"745","TRINITY_DN8187_c0_g1"
"746","TRINITY_DN17919_c0_g1"
"747","TRINITY_DN1042_c0_g1"
"748","TRINITY_DN3467_c0_g1"
"749","TRINITY_DN10329_c0_g1"
"750","TRINITY_DN1745_c0_g1"
"751","TRINITY_DN11469_c0_g1"
"752","TRINITY_DN5211_c1_g1"
"753","TRINITY_DN6839_c0_g1"
"754","TRINITY_DN142_c0_g1"
"755","TRINITY_DN2699_c0_g1"
"756","TRINITY_DN4171_c0_g2"
"757","TRINITY_DN5414_c0_g1"
"758","TRINITY_DN7692_c0_g1"
"759","TRINITY_DN24097_c0_g1"
"760","TRINITY_DN3301_c0_g1"
"761","TRINITY_DN40843_c0_g1"
"762","TRINITY_DN24943_c0_g1"
"763","TRINITY_DN7159_c0_g1"
"764","TRINITY_DN7743_c0_g1"
"765","TRINITY_DN1223_c0_g1"
"766","TRINITY_DN11649_c0_g1"
"767","TRINITY_DN12248_c0_g1"
"768","TRINITY_DN2106_c0_g1"
"769","TRINITY_DN25838_c0_g1"
"770","TRINITY_DN1628_c0_g1"
"771","TRINITY_DN775_c0_g1"
"772","TRINITY_DN15637_c0_g1"
"773","TRINITY_DN6398_c0_g1"
"774","TRINITY_DN7777_c0_g1"
"775","TRINITY_DN1206_c0_g1"
"776","TRINITY_DN4190_c0_g1"
"777","TRINITY_DN16252_c0_g1"
"778","TRINITY_DN5239_c3_g1"
"779","TRINITY_DN2098_c0_g1"
"780","TRINITY_DN9535_c0_g1"
"781","TRINITY_DN6543_c0_g1"
"782","TRINITY_DN71506_c0_g1"
"783","TRINITY_DN4361_c0_g1"
"784","TRINITY_DN2679_c0_g1"
"785","TRINITY_DN1491_c0_g1"
"786","TRINITY_DN5100_c0_g1"
"787","TRINITY_DN40647_c0_g1"
"788","TRINITY_DN318_c0_g1"
"789","TRINITY_DN2358_c0_g1"
"790","TRINITY_DN22279_c0_g1"
"791","TRINITY_DN12007_c0_g1"
"792","TRINITY_DN24259_c0_g1"
"793","TRINITY_DN6163_c0_g1"
"794","TRINITY_DN1817_c0_g1"
"795","TRINITY_DN10928_c0_g1"
"796","TRINITY_DN6311_c0_g1"
"797","TRINITY_DN19925_c0_g1"
"798","TRINITY_DN1655_c0_g1"
"799","TRINITY_DN1520_c0_g1"
"800","TRINITY_DN30889_c0_g1"
"801","TRINITY_DN5529_c0_g1"
"802","TRINITY_DN12965_c0_g2"
"803","TRINITY_DN4820_c0_g1"
"804","TRINITY_DN3303_c0_g1"
"805","TRINITY_DN2795_c0_g1"
"806","TRINITY_DN4564_c0_g1"
"807","TRINITY_DN12869_c0_g1"
"808","TRINITY_DN26247_c0_g1"
"809","TRINITY_DN34715_c0_g1"
"810","TRINITY_DN5021_c0_g2"
"811","TRINITY_DN10825_c0_g1"
"812","TRINITY_DN3447_c0_g1"
"813","TRINITY_DN39173_c0_g1"
"814","TRINITY_DN2667_c0_g1"
"815","TRINITY_DN9627_c0_g2"
"816","TRINITY_DN23194_c0_g1"
"817","TRINITY_DN21248_c0_g1"
"818","TRINITY_DN2883_c0_g1"
"819","TRINITY_DN9266_c0_g1"
"820","TRINITY_DN7508_c0_g1"
"821","TRINITY_DN17763_c0_g1"
"822","TRINITY_DN23727_c0_g1"
"823","TRINITY_DN4024_c0_g1"
"824","TRINITY_DN4693_c0_g1"
"825","TRINITY_DN5600_c0_g1"
"826","TRINITY_DN2915_c0_g1"
"827","TRINITY_DN4451_c0_g1"
"828","TRINITY_DN7849_c0_g1"
"829","TRINITY_DN42064_c0_g1"
"830","TRINITY_DN780_c0_g1"
"831","TRINITY_DN4010_c0_g1"
"832","TRINITY_DN28992_c0_g1"
"833","TRINITY_DN593_c0_g1"
"834","TRINITY_DN16654_c0_g1"
"835","TRINITY_DN5849_c0_g1"
"836","TRINITY_DN682_c0_g1"
"837","TRINITY_DN57288_c0_g1"
"838","TRINITY_DN3296_c0_g1"
"839","TRINITY_DN9319_c0_g2"
"840","TRINITY_DN2512_c3_g1"
"841","TRINITY_DN2592_c0_g1"
"842","TRINITY_DN8943_c0_g1"
"843","TRINITY_DN6033_c0_g1"
"844","TRINITY_DN11929_c0_g1"
"845","TRINITY_DN5242_c0_g1"
"846","TRINITY_DN6058_c0_g1"
"847","TRINITY_DN8346_c0_g1"
"848","TRINITY_DN28439_c0_g1"
"849","TRINITY_DN15921_c0_g1"
"850","TRINITY_DN1727_c0_g1"
"851","TRINITY_DN19445_c0_g1"
"852","TRINITY_DN2036_c0_g1"
"853","TRINITY_DN6351_c0_g1"
"854","TRINITY_DN5227_c0_g1"
"855","TRINITY_DN7113_c0_g1"
"856","TRINITY_DN14165_c0_g1"
"857","TRINITY_DN24606_c0_g1"
"858","TRINITY_DN9384_c0_g1"
"859","TRINITY_DN2117_c0_g1"
"860","TRINITY_DN5706_c0_g1"
"861","TRINITY_DN11238_c0_g1"
"862","TRINITY_DN2658_c0_g1"
"863","TRINITY_DN19363_c0_g1"
"864","TRINITY_DN21302_c0_g1"
"865","TRINITY_DN7896_c0_g1"
"866","TRINITY_DN6464_c0_g1"
"867","TRINITY_DN5500_c0_g1"
"868","TRINITY_DN43651_c0_g1"
"869","TRINITY_DN59789_c0_g1"
"870","TRINITY_DN5325_c0_g1"
"871","TRINITY_DN10509_c0_g1"
"872","TRINITY_DN4171_c0_g1"
"873","TRINITY_DN18190_c0_g1"
"874","TRINITY_DN31_c0_g1"
"875","TRINITY_DN9979_c0_g1"
"876","TRINITY_DN41031_c0_g1"
"877","TRINITY_DN9943_c1_g1"
"878","TRINITY_DN17995_c0_g1"
"879","TRINITY_DN1086_c0_g1"
"880","TRINITY_DN13569_c0_g1"
"881","TRINITY_DN52808_c0_g1"
"882","TRINITY_DN3748_c0_g1"
"883","TRINITY_DN811_c0_g1"
"884","TRINITY_DN3465_c0_g1"
"885","TRINITY_DN29826_c0_g1"
"886","TRINITY_DN2428_c0_g1"
"887","TRINITY_DN4372_c0_g1"
"888","TRINITY_DN8574_c0_g2"
"889","TRINITY_DN40836_c0_g1"
"890","TRINITY_DN7146_c0_g1"
"891","TRINITY_DN12483_c1_g1"
"892","TRINITY_DN21_c0_g1"
"893","TRINITY_DN10258_c0_g1"
"894","TRINITY_DN8698_c0_g1"
"895","TRINITY_DN8635_c0_g2"
"896","TRINITY_DN2645_c0_g1"
"897","TRINITY_DN20911_c0_g1"
"898","TRINITY_DN37538_c0_g1"
"899","TRINITY_DN5708_c1_g1"
"900","TRINITY_DN10758_c0_g1"
"901","TRINITY_DN4353_c0_g1"
"902","TRINITY_DN1271_c0_g1"
"903","TRINITY_DN28307_c0_g1"
"904","TRINITY_DN5320_c0_g2"
"905","TRINITY_DN31170_c0_g1"
"906","TRINITY_DN3_c0_g1"
"907","TRINITY_DN2473_c0_g1"
"908","TRINITY_DN5974_c0_g1"
"909","TRINITY_DN35142_c0_g1"
"910","TRINITY_DN12496_c1_g1"
"911","TRINITY_DN3829_c0_g1"
"912","TRINITY_DN5088_c0_g1"
"913","TRINITY_DN5723_c0_g1"
"914","TRINITY_DN16166_c0_g1"
"915","TRINITY_DN45044_c0_g1"
"916","TRINITY_DN9707_c0_g2"
"917","TRINITY_DN8023_c0_g1"
"918","TRINITY_DN6486_c0_g1"
"919","TRINITY_DN3639_c0_g1"
"920","TRINITY_DN12102_c0_g1"
"921","TRINITY_DN9290_c0_g1"
"922","TRINITY_DN22415_c0_g1"
"923","TRINITY_DN19114_c0_g1"
"924","TRINITY_DN779_c0_g1"
"925","TRINITY_DN6281_c0_g1"
"926","TRINITY_DN33840_c0_g1"
"927","TRINITY_DN5282_c0_g1"
"928","TRINITY_DN2686_c0_g1"
"929","TRINITY_DN9935_c0_g1"
"930","TRINITY_DN7004_c0_g1"
"931","TRINITY_DN14120_c0_g1"
"932","TRINITY_DN4600_c0_g1"
"933","TRINITY_DN9814_c0_g1"
"934","TRINITY_DN65132_c0_g1"
"935","TRINITY_DN18090_c0_g1"
"936","TRINITY_DN5634_c1_g1"
"937","TRINITY_DN26164_c0_g1"
"938","TRINITY_DN28272_c0_g1"
"939","TRINITY_DN1418_c0_g1"
"940","TRINITY_DN7363_c0_g1"
"941","TRINITY_DN14257_c0_g1"
"942","TRINITY_DN15800_c0_g1"
"943","TRINITY_DN9138_c0_g1"
"944","TRINITY_DN15277_c0_g1"
"945","TRINITY_DN25136_c0_g1"
"946","TRINITY_DN2341_c8_g1"
"947","TRINITY_DN1747_c0_g1"
"948","TRINITY_DN41473_c0_g1"
"949","TRINITY_DN10595_c0_g1"
"950","TRINITY_DN7050_c1_g1"
"951","TRINITY_DN9387_c0_g1"
"952","TRINITY_DN1858_c0_g2"
"953","TRINITY_DN9347_c0_g1"
"954","TRINITY_DN20302_c0_g1"
"955","TRINITY_DN19032_c2_g1"
"956","TRINITY_DN15706_c0_g1"
"957","TRINITY_DN3993_c0_g1"
"958","TRINITY_DN5946_c0_g1"
"959","TRINITY_DN13367_c0_g1"
"960","TRINITY_DN2323_c0_g1"
"961","TRINITY_DN11407_c0_g1"
"962","TRINITY_DN7666_c0_g1"
"963","TRINITY_DN8359_c0_g1"
"964","TRINITY_DN9738_c0_g1"
"965","TRINITY_DN7749_c3_g1"
"966","TRINITY_DN15315_c0_g1"
"967","TRINITY_DN4397_c1_g1"
"968","TRINITY_DN6660_c0_g1"
"969","TRINITY_DN18790_c0_g1"
"970","TRINITY_DN5441_c0_g1"
"971","TRINITY_DN11301_c0_g1"
"972","TRINITY_DN7140_c0_g1"
"973","TRINITY_DN8136_c0_g2"
"974","TRINITY_DN10540_c0_g1"
"975","TRINITY_DN33688_c0_g1"
"976","TRINITY_DN6644_c1_g1"
"977","TRINITY_DN10751_c0_g1"
"978","TRINITY_DN23157_c0_g1"
"979","TRINITY_DN8678_c0_g1"
"980","TRINITY_DN42135_c0_g1"
"981","TRINITY_DN30961_c0_g1"
"982","TRINITY_DN21285_c0_g1"
"983","TRINITY_DN20123_c2_g2"
"984","TRINITY_DN251_c1_g2"
"985","TRINITY_DN8454_c0_g1"
"986","TRINITY_DN14495_c0_g1"
"987","TRINITY_DN13817_c0_g1"
"988","TRINITY_DN5206_c0_g1"
"989","TRINITY_DN4157_c1_g1"
"990","TRINITY_DN1633_c0_g1"
"991","TRINITY_DN4839_c0_g1"
"992","TRINITY_DN2244_c0_g1"
"993","TRINITY_DN3775_c0_g1"
"994","TRINITY_DN6607_c0_g1"
"995","TRINITY_DN1063_c0_g1"
"996","TRINITY_DN32_c1_g1"
"997","TRINITY_DN24768_c0_g1"
"998","TRINITY_DN21000_c0_g1"
"999","TRINITY_DN8576_c0_g1"
"1000","TRINITY_DN4818_c0_g1"
"1001","TRINITY_DN12240_c0_g1"
"1002","TRINITY_DN24181_c0_g1"
"1003","TRINITY_DN15488_c0_g2"
"1004","TRINITY_DN20487_c0_g1"
"1005","TRINITY_DN3615_c0_g1"
"1006","TRINITY_DN36251_c0_g1"
"1007","TRINITY_DN21822_c0_g1"
"1008","TRINITY_DN3779_c0_g1"
"1009","TRINITY_DN13152_c0_g1"
"1010","TRINITY_DN5083_c0_g1"
"1011","TRINITY_DN5378_c0_g1"
"1012","TRINITY_DN3044_c0_g1"
"1013","TRINITY_DN6433_c0_g2"
"1014","TRINITY_DN7611_c0_g1"
"1015","TRINITY_DN48472_c0_g1"
"1016","TRINITY_DN6522_c0_g1"
"1017","TRINITY_DN8526_c0_g1"
"1018","TRINITY_DN11797_c1_g1"
"1019","TRINITY_DN7859_c0_g1"
"1020","TRINITY_DN17844_c0_g1"
"1021","TRINITY_DN10232_c0_g1"
"1022","TRINITY_DN12294_c0_g1"
"1023","TRINITY_DN4791_c0_g1"
"1024","TRINITY_DN11692_c0_g1"
"1025","TRINITY_DN8783_c0_g1"
"1026","TRINITY_DN11229_c1_g1"
"1027","TRINITY_DN2756_c0_g1"
"1028","TRINITY_DN20296_c1_g1"
"1029","TRINITY_DN1486_c1_g1"
"1030","TRINITY_DN9289_c0_g1"
"1031","TRINITY_DN13230_c0_g1"
"1032","TRINITY_DN7263_c0_g2"
"1033","TRINITY_DN1849_c0_g1"
"1034","TRINITY_DN18661_c0_g1"
"1035","TRINITY_DN8577_c1_g1"
"1036","TRINITY_DN34796_c0_g1"
"1037","TRINITY_DN3913_c0_g1"
"1038","TRINITY_DN13717_c0_g1"
"1039","TRINITY_DN11835_c0_g1"
"1040","TRINITY_DN25664_c0_g1"
"1041","TRINITY_DN15128_c0_g1"
"1042","TRINITY_DN922_c1_g1"
"1043","TRINITY_DN82503_c0_g1"
"1044","TRINITY_DN8388_c0_g1"
"1045","TRINITY_DN13310_c0_g1"
"1046","TRINITY_DN1665_c0_g1"
"1047","TRINITY_DN6437_c0_g1"
"1048","TRINITY_DN10434_c0_g1"
"1049","TRINITY_DN9204_c0_g1"
"1050","TRINITY_DN11242_c0_g1"
"1051","TRINITY_DN7799_c0_g1"
"1052","TRINITY_DN6417_c0_g1"
"1053","TRINITY_DN1964_c0_g1"
"1054","TRINITY_DN11802_c0_g1"
"1055","TRINITY_DN22927_c1_g1"
"1056","TRINITY_DN33567_c0_g1"
"1057","TRINITY_DN17201_c0_g1"
"1058","TRINITY_DN35058_c0_g1"
"1059","TRINITY_DN6441_c1_g1"
"1060","TRINITY_DN38387_c0_g1"
"1061","TRINITY_DN24894_c0_g1"
"1062","TRINITY_DN9353_c0_g1"
"1063","TRINITY_DN18308_c0_g1"
"1064","TRINITY_DN2475_c2_g1"
"1065","TRINITY_DN38882_c0_g1"
"1066","TRINITY_DN7450_c0_g1"
"1067","TRINITY_DN1241_c0_g1"
"1068","TRINITY_DN5693_c0_g1"
"1069","TRINITY_DN6054_c0_g1"
"1070","TRINITY_DN22011_c0_g1"
"1071","TRINITY_DN1480_c0_g1"
"1072","TRINITY_DN17513_c1_g1"
"1073","TRINITY_DN27674_c0_g1"
"1074","TRINITY_DN12597_c0_g1"
"1075","TRINITY_DN2890_c0_g1"
"1076","TRINITY_DN8642_c0_g1"
"1077","TRINITY_DN10364_c0_g1"
"1078","TRINITY_DN1800_c0_g2"
"1079","TRINITY_DN11680_c0_g1"
"1080","TRINITY_DN31512_c0_g1"
"1081","TRINITY_DN11580_c0_g1"
"1082","TRINITY_DN12933_c1_g1"
"1083","TRINITY_DN26018_c0_g1"
"1084","TRINITY_DN5144_c0_g1"
"1085","TRINITY_DN9440_c0_g1"
"1086","TRINITY_DN14732_c0_g1"
"1087","TRINITY_DN26417_c0_g1"
"1088","TRINITY_DN17659_c0_g1"
"1089","TRINITY_DN2983_c0_g1"
"1090","TRINITY_DN2467_c0_g1"
"1091","TRINITY_DN3160_c0_g1"
"1092","TRINITY_DN5772_c0_g1"
"1093","TRINITY_DN70850_c0_g1"
"1094","TRINITY_DN76575_c0_g1"
"1095","TRINITY_DN4310_c0_g1"
"1096","TRINITY_DN10577_c0_g1"
"1097","TRINITY_DN12165_c0_g1"
"1098","TRINITY_DN35607_c0_g1"
"1099","TRINITY_DN17422_c0_g1"
"1100","TRINITY_DN53482_c0_g1"
"1101","TRINITY_DN34483_c0_g1"
"1102","TRINITY_DN5516_c3_g1"
"1103","TRINITY_DN47366_c0_g1"
"1104","TRINITY_DN827_c0_g1"
"1105","TRINITY_DN4646_c0_g1"
"1106","TRINITY_DN3611_c0_g1"
"1107","TRINITY_DN1258_c0_g1"
"1108","TRINITY_DN2749_c0_g1"
"1109","TRINITY_DN9538_c0_g1"
"1110","TRINITY_DN12903_c0_g1"
"1111","TRINITY_DN4671_c0_g2"
"1112","TRINITY_DN16644_c0_g1"
"1113","TRINITY_DN17597_c0_g1"
"1114","TRINITY_DN4116_c0_g1"
"1115","TRINITY_DN3837_c0_g1"
"1116","TRINITY_DN46_c0_g1"
"1117","TRINITY_DN16229_c0_g1"
"1118","TRINITY_DN28008_c0_g1"
"1119","TRINITY_DN15849_c0_g1"
"1120","TRINITY_DN11492_c0_g1"
"1121","TRINITY_DN17755_c0_g1"
"1122","TRINITY_DN30505_c0_g1"
"1123","TRINITY_DN22361_c0_g1"
"1124","TRINITY_DN11542_c0_g1"
"1125","TRINITY_DN10885_c0_g1"
"1126","TRINITY_DN5511_c0_g1"
"1127","TRINITY_DN12560_c0_g1"
"1128","TRINITY_DN19489_c0_g1"
"1129","TRINITY_DN7979_c2_g1"
"1130","TRINITY_DN16472_c0_g1"
"1131","TRINITY_DN13927_c0_g1"
"1132","TRINITY_DN2160_c0_g1"
"1133","TRINITY_DN3855_c0_g1"
"1134","TRINITY_DN5323_c1_g1"
"1135","TRINITY_DN19050_c0_g1"
"1136","TRINITY_DN6532_c0_g1"
"1137","TRINITY_DN2635_c0_g1"
"1138","TRINITY_DN9525_c1_g1"
"1139","TRINITY_DN33351_c0_g1"
"1140","TRINITY_DN25842_c0_g1"
"1141","TRINITY_DN14326_c0_g1"
"1142","TRINITY_DN3346_c0_g1"
"1143","TRINITY_DN11347_c0_g1"
"1144","TRINITY_DN9591_c0_g1"
"1145","TRINITY_DN2400_c0_g1"
"1146","TRINITY_DN2132_c0_g1"
"1147","TRINITY_DN9430_c0_g1"
"1148","TRINITY_DN21930_c0_g1"
"1149","TRINITY_DN1555_c0_g1"
"1150","TRINITY_DN16744_c0_g1"
"1151","TRINITY_DN5073_c0_g1"
"1152","TRINITY_DN14737_c0_g2"
"1153","TRINITY_DN9058_c0_g1"
"1154","TRINITY_DN34062_c0_g1"
"1155","TRINITY_DN7871_c0_g1"
"1156","TRINITY_DN16472_c0_g2"
"1157","TRINITY_DN3126_c1_g2"
"1158","TRINITY_DN7142_c0_g1"
"1159","TRINITY_DN16332_c0_g1"
"1160","TRINITY_DN10146_c0_g1"
"1161","TRINITY_DN1675_c0_g1"
"1162","TRINITY_DN8545_c0_g1"
"1163","TRINITY_DN13134_c0_g1"
"1164","TRINITY_DN15195_c0_g1"
"1165","TRINITY_DN10872_c0_g1"
"1166","TRINITY_DN9148_c0_g1"
"1167","TRINITY_DN55957_c0_g1"
"1168","TRINITY_DN2031_c0_g1"
"1169","TRINITY_DN13523_c0_g1"
"1170","TRINITY_DN17002_c0_g1"
"1171","TRINITY_DN7891_c0_g1"
"1172","TRINITY_DN4674_c1_g1"
"1173","TRINITY_DN19920_c0_g1"
"1174","TRINITY_DN15029_c0_g1"
"1175","TRINITY_DN7618_c0_g1"
"1176","TRINITY_DN30950_c0_g1"
"1177","TRINITY_DN650_c0_g1"
"1178","TRINITY_DN4583_c0_g1"
"1179","TRINITY_DN1504_c0_g1"
"1180","TRINITY_DN22191_c1_g1"
"1181","TRINITY_DN4907_c0_g1"
"1182","TRINITY_DN6067_c0_g1"
"1183","TRINITY_DN2519_c1_g1"
"1184","TRINITY_DN1320_c1_g1"
"1185","TRINITY_DN18794_c0_g1"
"1186","TRINITY_DN3580_c0_g1"
"1187","TRINITY_DN5115_c0_g1"
"1188","TRINITY_DN48024_c0_g1"
"1189","TRINITY_DN6211_c0_g2"
"1190","TRINITY_DN20485_c0_g1"
"1191","TRINITY_DN15127_c0_g1"
"1192","TRINITY_DN15841_c0_g1"
"1193","TRINITY_DN22698_c0_g1"
"1194","TRINITY_DN25615_c0_g1"
"1195","TRINITY_DN4926_c0_g1"
"1196","TRINITY_DN6047_c0_g1"
"1197","TRINITY_DN8953_c0_g1"
"1198","TRINITY_DN4539_c0_g1"
"1199","TRINITY_DN4625_c0_g1"
"1200","TRINITY_DN22437_c0_g1"
"1201","TRINITY_DN9128_c0_g1"
"1202","TRINITY_DN3324_c1_g1"
"1203","TRINITY_DN10915_c1_g1"
"1204","TRINITY_DN4589_c0_g1"
"1205","TRINITY_DN20577_c0_g1"
"1206","TRINITY_DN19483_c0_g1"
"1207","TRINITY_DN259_c0_g1"
"1208","TRINITY_DN9655_c0_g1"
"1209","TRINITY_DN3218_c0_g1"
"1210","TRINITY_DN2822_c0_g1"
"1211","TRINITY_DN6870_c0_g1"
"1212","TRINITY_DN18268_c0_g1"
"1213","TRINITY_DN1652_c0_g2"
"1214","TRINITY_DN45712_c0_g1"
"1215","TRINITY_DN6392_c0_g1"
"1216","TRINITY_DN9209_c0_g1"
"1217","TRINITY_DN6792_c1_g1"
"1218","TRINITY_DN40355_c0_g1"
"1219","TRINITY_DN10348_c0_g1"
"1220","TRINITY_DN1535_c0_g1"
"1221","TRINITY_DN8684_c0_g1"
"1222","TRINITY_DN3190_c0_g1"
"1223","TRINITY_DN23309_c0_g1"
"1224","TRINITY_DN20036_c0_g1"
"1225","TRINITY_DN10259_c0_g1"
"1226","TRINITY_DN5420_c0_g1"
"1227","TRINITY_DN23590_c0_g1"
"1228","TRINITY_DN9530_c0_g1"
"1229","TRINITY_DN25147_c0_g1"
"1230","TRINITY_DN26747_c0_g1"
"1231","TRINITY_DN4712_c1_g1"
"1232","TRINITY_DN10097_c0_g1"
"1233","TRINITY_DN4997_c0_g1"
"1234","TRINITY_DN8665_c1_g1"
"1235","TRINITY_DN5222_c0_g1"
"1236","TRINITY_DN7829_c3_g1"
"1237","TRINITY_DN8592_c0_g1"
"1238","TRINITY_DN8733_c0_g1"
"1239","TRINITY_DN5308_c1_g1"
"1240","TRINITY_DN18897_c0_g1"
"1241","TRINITY_DN11424_c0_g1"
"1242","TRINITY_DN15692_c0_g1"
"1243","TRINITY_DN2230_c0_g1"
"1244","TRINITY_DN10191_c0_g1"
"1245","TRINITY_DN2175_c0_g1"
"1246","TRINITY_DN9302_c0_g1"
"1247","TRINITY_DN1361_c0_g1"
"1248","TRINITY_DN3067_c3_g1"
"1249","TRINITY_DN19798_c0_g1"
"1250","TRINITY_DN6018_c1_g1"
"1251","TRINITY_DN244_c0_g1"
"1252","TRINITY_DN22790_c0_g1"
"1253","TRINITY_DN22590_c0_g1"
"1254","TRINITY_DN74619_c0_g1"
"1255","TRINITY_DN13971_c0_g1"
"1256","TRINITY_DN19575_c0_g1"
"1257","TRINITY_DN8461_c0_g1"
"1258","TRINITY_DN11042_c0_g1"
"1259","TRINITY_DN22927_c0_g1"
"1260","TRINITY_DN9023_c1_g1"
"1261","TRINITY_DN38994_c0_g1"
"1262","TRINITY_DN17502_c1_g1"
"1263","TRINITY_DN13733_c0_g1"
"1264","TRINITY_DN18486_c0_g1"
"1265","TRINITY_DN3811_c0_g1"
"1266","TRINITY_DN15961_c2_g1"
"1267","TRINITY_DN6294_c0_g1"
"1268","TRINITY_DN3048_c0_g1"
"1269","TRINITY_DN1970_c1_g1"
"1270","TRINITY_DN6554_c1_g1"
"1271","TRINITY_DN8319_c0_g1"
"1272","TRINITY_DN2271_c0_g1"
"1273","TRINITY_DN31954_c1_g1"
"1274","TRINITY_DN22662_c0_g1"
"1275","TRINITY_DN11971_c0_g1"
"1276","TRINITY_DN5926_c0_g1"
"1277","TRINITY_DN13849_c0_g1"
"1278","TRINITY_DN33290_c0_g1"
"1279","TRINITY_DN14840_c0_g1"
"1280","TRINITY_DN17890_c0_g1"
"1281","TRINITY_DN5004_c0_g1"
"1282","TRINITY_DN14900_c0_g1"
"1283","TRINITY_DN9647_c0_g1"
"1284","TRINITY_DN29687_c0_g1"
"1285","TRINITY_DN56143_c0_g1"
"1286","TRINITY_DN7347_c0_g1"
"1287","TRINITY_DN15361_c0_g1"
"1288","TRINITY_DN3957_c0_g1"
"1289","TRINITY_DN814_c1_g1"
"1290","TRINITY_DN8487_c0_g2"
"1291","TRINITY_DN8799_c0_g1"
"1292","TRINITY_DN6877_c0_g2"
"1293","TRINITY_DN1551_c0_g1"
"1294","TRINITY_DN7838_c0_g1"
"1295","TRINITY_DN1518_c0_g1"
"1296","TRINITY_DN5778_c0_g1"
"1297","TRINITY_DN13804_c0_g1"
"1298","TRINITY_DN17463_c0_g1"
"1299","TRINITY_DN58724_c0_g1"
"1300","TRINITY_DN1178_c3_g3"
"1301","TRINITY_DN6230_c0_g1"
"1302","TRINITY_DN8632_c0_g1"
"1303","TRINITY_DN4535_c0_g1"
"1304","TRINITY_DN10462_c0_g1"
"1305","TRINITY_DN51671_c0_g1"
"1306","TRINITY_DN2725_c4_g1"
"1307","TRINITY_DN9927_c0_g1"
"1308","TRINITY_DN51200_c0_g1"
"1309","TRINITY_DN6229_c0_g2"
"1310","TRINITY_DN2773_c0_g1"
"1311","TRINITY_DN8222_c0_g1"
"1312","TRINITY_DN27067_c0_g1"
"1313","TRINITY_DN2043_c0_g1"
"1314","TRINITY_DN2862_c0_g1"
"1315","TRINITY_DN20271_c0_g1"
"1316","TRINITY_DN2113_c1_g1"
"1317","TRINITY_DN3664_c0_g1"
"1318","TRINITY_DN959_c0_g1"
