"","turqGeneNames"
"153","TRINITY_DN4224_c0_g1"
"154","TRINITY_DN2519_c0_g1"
"155","TRINITY_DN14626_c0_g1"
"156","TRINITY_DN72785_c0_g1"
"157","TRINITY_DN840_c0_g1"
"158","TRINITY_DN6654_c0_g1"
"159","TRINITY_DN44_c2_g1"
"160","TRINITY_DN14977_c1_g2"
"161","TRINITY_DN8740_c1_g1"
"162","TRINITY_DN12921_c0_g1"
"163","TRINITY_DN5873_c0_g1"
"164","TRINITY_DN8478_c0_g1"
"165","TRINITY_DN11550_c0_g1"
"166","TRINITY_DN1812_c0_g1"
"167","TRINITY_DN5721_c0_g1"
"168","TRINITY_DN1541_c0_g1"
"169","TRINITY_DN4921_c0_g1"
"170","TRINITY_DN18331_c0_g1"
"171","TRINITY_DN352_c0_g1"
"172","TRINITY_DN3783_c0_g1"
"173","TRINITY_DN9037_c0_g1"
"174","TRINITY_DN11487_c0_g1"
"175","TRINITY_DN2565_c0_g1"
"176","TRINITY_DN2636_c0_g1"
"177","TRINITY_DN2022_c0_g1"
"178","TRINITY_DN6571_c3_g1"
"179","TRINITY_DN4311_c0_g1"
"180","TRINITY_DN8496_c0_g1"
"181","TRINITY_DN1803_c0_g1"
"182","TRINITY_DN14934_c0_g1"
"183","TRINITY_DN349_c1_g1"
"184","TRINITY_DN4338_c0_g1"
"185","TRINITY_DN3745_c0_g1"
"186","TRINITY_DN22283_c0_g1"
"187","TRINITY_DN19588_c0_g1"
"188","TRINITY_DN4280_c0_g1"
"189","TRINITY_DN1161_c0_g1"
"190","TRINITY_DN6527_c0_g1"
"191","TRINITY_DN4698_c0_g1"
"192","TRINITY_DN3559_c0_g1"
"193","TRINITY_DN7063_c0_g1"
"194","TRINITY_DN2595_c0_g1"
"195","TRINITY_DN8664_c0_g1"
"196","TRINITY_DN6011_c1_g1"
"197","TRINITY_DN10961_c0_g1"
"198","TRINITY_DN8195_c0_g1"
"199","TRINITY_DN1193_c0_g1"
"200","TRINITY_DN4278_c0_g1"
"201","TRINITY_DN6547_c0_g1"
"202","TRINITY_DN5936_c0_g1"
"203","TRINITY_DN194_c1_g1"
"204","TRINITY_DN219_c0_g1"
"205","TRINITY_DN3491_c0_g1"
"206","TRINITY_DN5871_c0_g1"
"207","TRINITY_DN11484_c0_g1"
"208","TRINITY_DN6559_c0_g1"
"209","TRINITY_DN20490_c0_g1"
"210","TRINITY_DN7612_c0_g1"
"211","TRINITY_DN1592_c0_g1"
"212","TRINITY_DN3874_c1_g1"
"213","TRINITY_DN766_c0_g1"
"214","TRINITY_DN2082_c0_g1"
"215","TRINITY_DN190_c0_g1"
"216","TRINITY_DN6582_c0_g1"
"217","TRINITY_DN4123_c0_g1"
"218","TRINITY_DN1187_c2_g1"
"219","TRINITY_DN704_c0_g1"
"220","TRINITY_DN1273_c1_g1"
"221","TRINITY_DN817_c0_g1"
"222","TRINITY_DN15043_c0_g1"
"223","TRINITY_DN11310_c0_g1"
"224","TRINITY_DN19987_c0_g1"
"225","TRINITY_DN3080_c0_g1"
"226","TRINITY_DN6187_c0_g1"
"227","TRINITY_DN23152_c0_g1"
"228","TRINITY_DN18614_c0_g1"
"229","TRINITY_DN4561_c0_g1"
"230","TRINITY_DN9774_c0_g1"
"231","TRINITY_DN1279_c0_g1"
"232","TRINITY_DN4621_c1_g1"
"233","TRINITY_DN14219_c0_g1"
"234","TRINITY_DN20475_c0_g1"
"235","TRINITY_DN240_c0_g1"
"236","TRINITY_DN4405_c0_g1"
"237","TRINITY_DN23122_c1_g1"
"238","TRINITY_DN2498_c0_g1"
"239","TRINITY_DN8351_c2_g1"
"240","TRINITY_DN5931_c0_g1"
"241","TRINITY_DN3773_c1_g1"
"242","TRINITY_DN13314_c0_g1"
"243","TRINITY_DN3572_c0_g1"
"244","TRINITY_DN24764_c0_g1"
"245","TRINITY_DN8938_c0_g1"
"246","TRINITY_DN4248_c0_g1"
"247","TRINITY_DN10903_c0_g1"
"248","TRINITY_DN627_c0_g1"
"249","TRINITY_DN5089_c0_g1"
"250","TRINITY_DN3606_c0_g1"
"251","TRINITY_DN2987_c0_g1"
"252","TRINITY_DN17402_c0_g1"
"253","TRINITY_DN3230_c1_g1"
"254","TRINITY_DN7093_c0_g1"
"255","TRINITY_DN1358_c4_g1"
"256","TRINITY_DN4143_c0_g1"
"257","TRINITY_DN3008_c0_g1"
"258","TRINITY_DN20200_c0_g1"
"259","TRINITY_DN11521_c0_g1"
"260","TRINITY_DN5330_c0_g1"
"261","TRINITY_DN1564_c0_g1"
"262","TRINITY_DN2272_c0_g1"
"263","TRINITY_DN6175_c0_g1"
"264","TRINITY_DN6867_c0_g1"
"265","TRINITY_DN10986_c0_g1"
"266","TRINITY_DN7019_c1_g1"
"267","TRINITY_DN336_c0_g1"
"268","TRINITY_DN9_c0_g1"
"269","TRINITY_DN283_c2_g1"
"270","TRINITY_DN3477_c0_g1"
"271","TRINITY_DN12485_c1_g1"
"272","TRINITY_DN4175_c0_g1"
"273","TRINITY_DN7386_c0_g1"
"274","TRINITY_DN563_c0_g1"
"275","TRINITY_DN8098_c0_g1"
"276","TRINITY_DN34744_c0_g1"
"277","TRINITY_DN18583_c0_g1"
"278","TRINITY_DN2425_c0_g1"
"279","TRINITY_DN1119_c0_g2"
"280","TRINITY_DN6636_c1_g1"
"281","TRINITY_DN4699_c0_g1"
"282","TRINITY_DN3509_c0_g1"
"283","TRINITY_DN25048_c0_g1"
