29_4cell_rep_1	29_4cell_rep_2	29_4cell_rep_3	29_blast_rep_1	29_blast_rep_2	29_blast_rep_3	29_gast_rep_1	29_gast_rep_2	29_gast_rep_3	29_larv_rep_1	29_larv_rep_2	29_larv_rep_3	33_4cell_rep_1	33_4cell_rep_2	33_4cell_rep_3	33_blast_rep_1	33_blast_rep_2	33_blast_rep_3	33_gast_rep_1	33_gast_rep_2	33_gast_rep_3	33_larv_rep_1	33_larv_rep_2	33_larv_rep_3	eggs_rep_1	eggs_rep_2	eggs_rep_3
TRINITY_DN100003_c0_g1	6.84178656228252	6.72801093974487	6.72801093974487	6.72801093974487	6.94171879892681	6.72801093974487	6.93739228365634	6.72801093974487	7.30921795168633	6.72801093974487	7.2068916597808	7.06467009081666	6.72801093974487	6.72801093974487	6.72801093974487	6.9299674173347	6.88660239525622	7.03823188353606	7.02742357898213	7.14811810643381	7.22051781580879	6.88166218945093	7.25341411609396	6.91214390999502	6.72801093974487	6.72801093974487	6.72801093974487
TRINITY_DN10000_c0_g1	8.75237716259539	9.29994774684452	9.62584648092765	10.2466923539802	10.0184700363799	10.1115783840733	9.90847784202358	9.5464283520863	9.45490375389974	9.80661963249651	8.93543315503482	9.15273004472196	8.60920908631323	9.2078880852613	9.6366382601705	10.0149471776681	9.68864953793852	9.63667355848302	9.84023552912686	9.22692495010227	9.40286210889994	9.64521423827361	8.77976093737733	9.16275561099481	8.5343996171105	8.77530656935058	9.73266564252151
TRINITY_DN100013_c0_g1	6.98119809382048	6.84784239396555	6.97569686677302	6.72801093974487	6.72801093974487	6.72801093974487	6.87557222855076	6.72801093974487	6.9383579316885	6.72801093974487	6.72801093974487	6.86519188640414	7.00360460711366	6.72801093974487	6.91994902166455	6.72801093974487	6.88599123302796	7.00451472333403	6.72801093974487	6.72801093974487	6.86470718667031	6.88108376039494	6.92005674251776	6.72801093974487	6.72801093974487	6.72801093974487	6.90631771369675
TRINITY_DN100032_c0_g1	6.72801093974487	6.72801093974487	6.72801093974487	6.95173860803682	6.72801093974487	6.72801093974487	7.09086077745039	6.72801093974487	7.2440853828879	7.14833421802067	7.15769927267763	7.27696276049288	6.72801093974487	6.72801093974487	6.72801093974487	6.87120279238949	6.72801093974487	7.09564866149052	6.94040160247951	7.06133081628567	7.16141895220755	7.54669814773249	7.19951911770747	7.52291491184564	6.72801093974487	6.72801093974487	6.72801093974487
TRINITY_DN100034_c0_g1	7.42489712032799	6.96909824457672	9.40406815811808	7.11504025233867	6.72801093974487	7.97326283931401	6.72801093974487	6.72801093974487	7.13257608546722	6.88748040077933	6.72801093974487	6.72801093974487	7.52340122699012	6.90733903948607	9.35287822589405	7.07830634147154	6.95287801518218	8.72130501375221	6.87837443975937	6.72801093974487	6.8656324661282	6.88212745762062	7.03338203926372	6.85865207493613	7.4897059731401	6.92123520938305	9.80112765154434
TRINITY_DN100035_c0_g1	6.84205726098417	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	6.72801093974487	7.11979600957285	7.12423278185582	7.07310411383745	7.11738338645208	7.42016428789074	7.30987947829263	6.85218047852357	6.72801093974487	6.72801093974487	6.93044930055581	6.72801093974487	6.86729944043647	7.24598772647315	7.22114289502099	6.92243589679346	6.99451942253573	7.28824031842653	7.34952437590179	6.72801093974487	6.72801093974487	6.72801093974487
TRINITY_DN10003_c0_g1	8.2694776575325	8.55805424671536	8.3254906006621	8.17923965612523	8.17721920180588	8.37722048051518	8.90866373838927	8.65491522964828	9.53476595536422	11.5499649854819	11.4060022796263	11.6096147468619	8.26656500191782	8.62125789127681	8.5133599930533	8.10309156253333	8.38748168242256	8.37957974982519	10.04575607948	8.88330306733182	10.5464941023039	11.8604809715692	11.3945934515566	11.796768647046	8.53457670099873	8.85630463650538	8.66620932146659
TRINITY_DN10004_c0_g1	9.22640145796131	9.81650448137309	9.32034310130516	9.37971392734354	9.16093677613118	9.18883798386219	9.30158061795341	9.47817942744875	9.2003478777173	9.21421995016298	9.12558511909825	9.10223372139672	9.40351130713914	9.86519697710446	9.28261516582787	9.26136647968751	9.31863596512056	9.27126991130251	9.24114711326696	9.28139921096416	9.34574794756518	9.07719694359493	8.91754516327961	9.07257154350889	9.54266246934289	10.2767213713875	9.68157032439066
TRINITY_DN100056_c0_g1	6.72801093974487	6.72801093974487	7.31335012599643	6.88599537243702	6.87926131478827	7.27324412298637	6.98445083494042	6.72801093974487	6.93924537561298	7.14755945808496	7.2735172070681	7.03558876938156	6.72801093974487	6.85452532640575	7.52476402059038	6.93005747649373	6.88667436171574	7.22693046577504	6.98754077559679	6.72801093974487	6.92206634272351	7.25778020665163	7.21770475415351	7.07206298401997	6.87066231886116	7.13577973711401	7.57618303107814
TRINITY_DN10005_c0_g1	9.24256616913038	9.69999290583977	9.67275110097688	9.54459827937818	9.51386578226334	9.41426269811348	8.92292305145556	9.23616696034177	8.88431861719974	8.90150300206362	9.13327241066462	8.90039900499352	9.37717104966177	9.79284075109317	9.6457741328481	9.56865420874209	10.0407706664251	9.69617959401153	8.92740479150229	9.39254099456084	8.9060506564796	8.99515192650266	9.15886558509024	8.98869961598218	9.50447417172794	9.95222011356594	9.63411956345266
