Sample	Stage	Temp	p58_a	Ets1_2	FoxQ2_1	Erg	Ttrspn_19	Cara7LA	Not	Not_2	Eve	Blimp1	RhoA	Gcm	Sm37	Otx	Pks2	Tbr	Tel	Sp5	Myc	Cycpln	IrxA	Wnt5	Emx	Wnt1	Wnt16	Sm29	p58_b	Wnt4	Delta	FoxG	GataC	ScratchX	Msxl	FoxB	Endo16	E2f3	Nodal	Chordin	Wnt8	Tgif	FoxA	Alx1	Vegf3	Sip1	Pitx2	Nk1	SoxE	Lox	Wnt10	FoxC	Sm50	Msp130	HesC	C-lectin	SoxC	Shr2	FoxY	Ese	Gatae	Gsc	Lefty	Six3	Bra	Hox7	Hh	P19	FoxF
29_larv_rep_2	29_larv_rep_2	larvae	ambient	13.465218	10.426981	10.483241	11.201553	10.226101	12.032002	8.038667	9.566637	10.832428	12.233588	14.504885	9.83088	14.93117	13.144231	11.293775	9.403353	10.139127	10.510316	12.799538	11.460756	12.55612	11.640865	10.996987	10.185977	8.767583	13.77321	12.223226	8.804474	9.953647	10.513191	9.739871	9.38347	9.615612	8.122597	15.628403	11.621776	9.882883	11.007146	10.700691	11.268195	13.007239	10.688938	9.86893	8.70594	10.279737	9.981195	9.821772	9.69338	9.107811	9.631471	12.841524	14.302931	10.733537	12.848624	12.435073	10.652628	10.669975	10.824963	11.829493	10.074777	10.138583	11.005395	11.455823	10.260548	10.547364	12.88111	8.218421
29_larv_rep_3	29_larv_rep_3	larvae	ambient	13.219081	10.073312	9.209686	10.819331	9.914987	11.696693	7.59937	9.114577	10.735635	11.684342	14.600985	9.746398	14.485516	13.23764	10.92637	8.715311	10.13166	10.359301	12.857107	11.22371	12.535552	11.606856	11.126203	10.351681	8.317699	13.643695	11.893394	8.887957	11.163621	11.635991	9.001962	9.632647	9.920097	8.375978	15.064254	11.996493	10.188753	11.163052	10.493223	11.395981	13.00481	10.429741	10.087657	8.691287	10.664591	10.516709	9.562226	9.63268	8.351778	9.701732	12.434684	14.024713	11.165084	12.732666	12.672959	10.884354	9.771514	10.683554	11.769387	10.536725	10.521853	10.684955	11.107096	10.577495	10.304182	12.435029	8.57061
33_4cell_rep_1	33_4cell_rep_1	fourcell	high	7.009275	14.73021	9.516686	8.153758	8.777376	6.847692	7.293911	7.726572	9.09351	9.245231	12.634743	6.85243	7.078986	12.395261	7.006008	11.338434	11.054243	6.976477	10.394408	7.07904	7.139483	7.1395	7.466921	9.1559	7.005813	7.005731	7.139494	9.303247	7.560636	7.079204	6.728011	6.852357	6.903821	6.852428	7.281306	9.446805	7.754688	8.045637	8.193006	7.139479	7.369414	8.12944	7.392455	9.231113	6.903886	6.94339	6.852456	6.943256	6.728011	6.943304	6.942453	7.100366	8.674329	6.97656	8.807677	11.667617	7.280901	7.333385	7.18845	7.357383	7.294366	7.651524	6.976641	6.728011	6.728011	6.942421	6.728011
33_4cell_rep_2	33_4cell_rep_2	fourcell	high	7.008951	15.785427	8.975061	7.713639	8.497716	6.994199	7.277723	8.473641	9.243188	9.687992	12.696695	7.128503	7.128304	12.347399	6.981911	11.285171	11.582238	6.907475	9.289258	6.981703	7.011716	8.033917	7.417579	8.499653	6.854995	6.907483	7.086537	8.672221	7.662503	6.855039	6.728011	6.85495	6.854959	6.728011	7.128576	9.564725	7.731771	8.017709	8.000135	7.370668	7.292602	8.262286	7.063462	9.613325	6.855006	6.855031	7.148003	6.907475	6.728011	6.907515	6.854481	7.147936	8.878374	7.33276	8.709781	11.762649	7.063223	7.063468	6.912923	7.428261	7.166194	7.166325	6.907593	6.854953	6.855057	6.854462	6.728011
33_4cell_rep_3	33_4cell_rep_3	fourcell	high	7.037348	14.362564	9.646556	8.289609	8.841017	6.962315	6.864696	7.882622	9.506268	9.414716	12.952198	7.219322	7.001316	12.603006	6.965015	11.816425	11.154434	6.921399	9.245414	7.631383	7.159487	7.350791	8.122655	9.097722	6.864854	6.964783	7.237803	9.346226	7.481873	7.033648	6.864866	6.921397	7.137206	7.001447	6.921541	8.974416	8.08069	8.790304	8.419313	7.305194	7.237681	7.897588	7.335946	8.879792	6.864865	7.660396	7.114217	7.180036	6.728011	7.200064	6.864307	7.219344	9.247726	7.062579	9.394067	11.006808	7.631206	7.766263	6.890745	7.660015	7.837213	7.59156	7.03364	6.728011	6.728011	6.963873	6.728011
33_blast_rep_1	33_blast_rep_1	blastula	high	12.823528	12.592871	12.811476	12.111818	11.166311	9.812746	8.527041	11.276241	12.279695	12.748125	12.771164	11.893547	12.287147	14.115403	14.098822	12.210316	10.961969	10.489916	13.442378	8.81118	8.801437	11.105973	10.981814	10.090267	10.153458	11.416541	11.498358	9.045641	10.90011	8.493195	9.368203	6.976195	8.667633	10.16731	11.556759	12.565953	10.115471	12.301077	11.810542	10.186313	11.527794	11.899549	10.431233	8.686199	7.653253	8.387362	7.364929	7.014476	6.87146	7.332401	10.662913	14.287529	11.589913	11.695598	12.157583	11.770991	9.647176	11.328074	11.24102	8.933594	10.389103	9.572828	11.018205	7.048159	7.315954	13.164731	6.976236
33_blast_rep_2	33_blast_rep_2	blastula	high	13.503957	11.708201	12.417163	12.571993	11.220869	9.88151	9.367918	11.770759	12.420533	13.29522	13.035821	12.341398	13.014411	14.547606	14.475144	12.626683	10.874424	10.400069	13.623915	9.754096	8.185915	11.217944	11.226829	10.679073	10.756695	11.59056	12.16016	8.945575	11.308926	8.337662	9.640381	6.887217	8.488132	10.249192	11.950313	13.233458	10.693686	12.62018	12.101333	10.471127	12.594213	12.126043	10.447	8.367502	7.25363	8.229182	7.148295	6.953052	6.728011	6.953103	11.161092	15.073817	11.609887	12.225037	12.863813	12.107124	9.084328	11.675417	11.50008	8.901153	11.119859	9.888008	11.76597	7.083296	7.253843	13.544612	6.953087
33_blast_rep_3	33_blast_rep_3	blastula	high	11.973539	12.822925	12.292167	11.100247	10.755991	9.090995	8.368457	10.686174	11.820218	11.833824	12.987016	11.041107	11.782536	13.917517	13.360697	11.981376	10.872813	9.679783	12.827751	8.426539	8.199627	10.546922	10.554862	9.965208	9.455697	10.64438	10.634646	9.069851	10.990843	8.541264	8.840794	7.445687	8.652136	9.095224	11.309439	11.759911	9.891088	12.118894	11.802627	9.479417	10.823694	11.164666	9.935568	8.443389	7.608222	8.08119	8.221805	7.145198	7.006752	7.299762	9.997041	13.380569	11.54697	10.662979	12.125382	11.623662	9.576729	10.429374	9.946766	8.60564	9.871745	9.310448	10.272387	7.121491	6.969636	12.224644	6.925238
33_gast_rep_1	33_gast_rep_1	gastrula	high	13.409287	10.331097	12.115246	11.327845	10.455589	11.107207	8.229732	11.01147	11.262292	12.91338	14.003635	11.028655	14.386884	13.691519	11.52853	10.744163	10.262638	10.508494	13.632692	9.593491	12.574148	11.607715	11.350237	10.313723	9.721761	12.720912	11.984928	8.691698	9.856356	11.033758	10.088716	8.6249	9.478654	8.584213	14.076125	12.373365	9.774925	12.16584	11.187243	11.076415	13.091908	10.259935	10.432337	8.828908	8.038015	10.655278	8.970838	8.642978	8.110957	9.040915	12.438415	14.41852	11.107154	12.477041	12.409008	11.029072	11.777797	10.832178	12.068841	10.161922	10.304961	11.061914	11.250858	10.422044	9.920772	12.717924	7.51495
33_gast_rep_2	33_gast_rep_2	gastrula	high	13.823136	11.948494	12.177153	11.840738	10.888753	9.886634	9.100588	11.220994	11.478147	13.119088	13.837141	12.291798	13.88133	13.544512	12.681099	12.775252	10.781403	10.446515	13.430247	9.997612	11.499421	11.370241	10.999909	10.303981	10.6118	12.467601	11.967682	8.706729	10.112822	10.170152	10.569119	7.303661	9.229748	9.776781	14.615001	12.280495	9.791508	13.079314	11.098445	10.716815	13.091673	11.200496	10.594693	8.675415	7.199258	10.251262	7.358266	8.170815	7.69142	7.635512	12.219665	15.207192	11.045237	12.097698	12.096269	11.161724	10.256578	11.975722	11.514352	9.608208	10.421345	10.930517	11.433219	9.142023	8.902722	13.444012	6.939451
33_gast_rep_3	33_gast_rep_3	gastrula	high	13.427641	10.54991	12.094523	11.217321	10.583935	10.944175	8.731126	11.10473	11.444561	12.915984	13.813023	11.130206	14.13071	13.399659	12.510676	11.467044	10.205287	10.459105	13.430438	9.360269	12.185741	11.32342	11.234118	10.42282	9.627236	12.673452	11.960946	8.887564	10.167458	10.600235	9.861822	8.667968	9.684699	9.020819	14.858516	11.718543	10.126904	12.593769	11.357856	11.001464	12.653575	10.697667	10.259977	8.591087	7.926103	10.351934	8.86349	8.468912	7.747159	8.774202	12.444524	14.433758	11.300411	12.036814	12.264434	11.049051	11.48426	10.538504	11.4538	10.125263	10.65172	10.93737	11.030256	10.23746	9.276033	12.858887	7.397063
33_larv_rep_1	33_larv_rep_1	larvae	high	12.902342	9.814663	8.604389	10.476395	10.136033	12.494571	7.574259	9.316076	10.550075	11.143587	14.555858	9.923856	14.890704	13.391889	10.467198	7.742834	10.26508	10.343885	12.718609	10.050342	12.652783	11.438659	10.732118	10.041812	8.171524	13.803985	12.013653	8.847334	11.103878	11.686773	8.944358	9.560233	10.210561	8.571186	14.357576	11.70866	10.487771	10.757835	10.662457	10.825815	12.9104	10.007825	10.002323	8.683536	11.142502	10.554311	10.23882	9.714502	8.847438	9.368258	12.813956	13.752628	11.253483	12.810631	12.685472	10.770399	9.280848	10.707682	11.495904	10.767046	10.742099	10.879669	11.080434	10.671765	10.283537	13.163711	8.265461
33_larv_rep_2	33_larv_rep_2	larvae	high	13.450331	10.375503	10.422079	11.269611	10.544817	12.07304	8.024425	9.65446	11.312202	12.083087	14.536232	9.716012	14.755393	13.22151	11.249618	9.660309	10.1419	10.626489	12.783156	11.207752	12.347204	11.492008	11.03337	10.339455	8.838811	13.643866	12.156064	8.715182	9.901779	10.452329	9.772846	9.504776	9.459623	8.217027	15.681955	11.327401	10.123381	11.057028	10.791304	11.524596	12.785951	10.483153	9.817599	8.466824	10.273691	10.158503	9.896084	9.765487	9.269214	9.549141	12.78368	14.203939	10.645998	12.817375	12.711183	10.590139	10.689031	11.036873	11.760985	9.862151	10.386831	11.036333	11.346332	9.812881	10.735615	12.813025	8.313074
33_larv_rep_3	33_larv_rep_3	larvae	high	12.845624	9.91672	8.558668	10.568996	10.039924	12.302552	7.619131	8.909101	10.548971	11.104189	14.656265	9.536899	14.460547	13.265959	10.612643	8.059196	10.165099	10.207691	12.622338	9.967004	12.279317	11.354601	10.786366	10.285912	8.155038	13.552166	11.860118	8.858214	11.155813	11.687171	8.826749	9.277901	10.044484	8.398457	14.741817	11.579551	10.15059	10.911749	10.375687	10.946886	12.714593	9.959587	9.793899	8.476567	10.873869	10.508606	10.134727	9.491792	8.585356	9.242456	12.474864	13.625418	10.902372	12.479651	12.618396	10.760602	9.006286	10.815658	11.39237	10.630596	10.556501	10.808854	11.031031	10.359961	10.188063	12.88327	8.303156
eggs_rep_1	eggs_rep_1	eggs	ambient	7.248154	14.525547	7.952952	8.469205	9.056953	6.901469	7.278811	7.528173	6.930434	9.357556	12.977552	6.871238	7.408508	12.593385	7.201344	12.029341	10.768735	6.871155	10.594582	7.241734	6.97594	7.078222	7.29766	9.864775	7.014048	7.156067	7.132066	8.91391	7.598164	6.871256	6.728011	6.728011	6.728011	6.728011	7.279694	9.7922	7.630509	8.170567	7.077989	7.179375	7.131965	8.307167	7.156366	9.430711	6.871218	6.9759	6.728011	6.930366	6.930423	6.871188	6.929597	7.451074	7.361395	6.871204	8.790721	11.892982	6.871157	7.156375	7.165537	7.314524	6.93036	7.575249	6.871252	7.131735	6.871277	7.104325	7.013994
eggs_rep_2	eggs_rep_2	eggs	ambient	7.312018	15.89853	7.486013	8.074369	8.603801	7.099478	7.319813	8.446	6.964831	10.168924	13.067907	7.033587	7.272159	12.356967	7.159563	12.332602	10.65134	6.964752	9.496826	7.137235	7.237749	8.393169	7.790913	8.776725	7.159263	7.062454	7.114201	8.205057	7.993317	6.921514	7.033545	6.864794	6.728011	6.964882	7.114177	10.030101	7.364875	8.139808	6.921415	7.602065	7.581428	8.429104	7.18032	9.570007	7.114053	6.921502	7.219383	6.728011	6.728011	7.255156	6.963876	7.305058	7.546856	7.304898	8.81251	12.228675	6.728011	7.527865	7.009555	7.304821	7.001268	7.00135	6.728011	7.21901	6.728011	7.416496	6.864817
eggs_rep_3	eggs_rep_3	eggs	ambient	6.981143	14.097292	7.31735	8.525078	8.952397	6.866898	6.986772	7.889635	6.979111	9.579786	13.150911	6.977619	7.05417	12.736116	7.046073	12.775199	10.659357	6.874365	9.201862	7.854771	7.132508	7.503665	8.178982	9.654015	6.87309	6.934669	6.930614	9.312426	7.453435	7.015223	6.728011	6.728011	7.054239	6.728011	7.180279	9.135216	7.184826	9.066089	6.87371	7.424319	7.159282	7.527541	7.262567	9.084329	7.051152	7.782483	6.728011	7.291448	6.728011	7.052818	6.889155	7.382789	7.850439	6.93313	9.22102	11.147961	7.232492	7.298727	7.219194	7.489972	7.020505	7.207902	6.871891	6.874342	6.728011	6.956667	6.87378
