"","spu_id","Orthogroup","family_member","common_name","synonyms","best_genbank_hit"
"906","SPU_002003","OG0001022",NA,"Hnrpa2B1L","heterogeneous nuclear ribonucleoprotein A2/B1 isoform A2","NP_002128"
"2194","SPU_004836","OG0001029",NA,"Ewsr1l_1","Ewing sarcoma breakpoint region 1 isoform EWS",NA
"9974","SPU_022236","OG0009774","HSP40B","Hsp40B","DNAJ","AAH84307"
