baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN100003_c0_g1	3.39972539712497	3.22963290020702	1.4518616874948	2.22447697878149	0.0261163697134559	0.0366384494259598
TRINITY_DN10000_c0_g1	533.823411411713	0.957606212314733	0.303571671856365	3.15446499490184	0.0016079266652887	0.00263741247789117
TRINITY_DN100032_c0_g1	6.00580362178347	3.70716445270938	1.32873436010589	2.78999667955749	0.00527085821159766	0.00813174422406785
TRINITY_DN10007_c0_g1	118.518864451861	-1.51497401818884	0.211887102479443	-7.1499114408619	8.68339022319795e-13	3.09578700258916e-12
TRINITY_DN10008_c0_g1	1611.24664576768	3.11884770782538	0.211922603247164	14.7169186299014	5.02019368532211e-49	1.23105893490067e-47
TRINITY_DN1000_c1_g1	498.373666206336	-0.381811886354326	0.171036810581368	-2.23233750124618	0.0255926651065478	0.0359568828679839
TRINITY_DN100106_c0_g1	4.03650670297471	2.82813794741619	1.18312467134117	2.39039723870373	0.0168301582377269	0.0242613484964889
TRINITY_DN100107_c0_g1	19.9403421697566	3.87092463401773	1.12728622696004	3.43384363388922	0.000595087375822351	0.0010220062426741
TRINITY_DN10010_c0_g1	505.627557677339	1.63288051453859	0.465494492100365	3.50784067749297	0.000451759514707604	0.000786937838791449
TRINITY_DN10014_c0_g1	338.428300623922	-0.649151898528969	0.206164825162802	-3.14870346101162	0.00163996516987633	0.00268697942219259
TRINITY_DN100184_c0_g1	12.929124416319	6.68878768085543	1.36733438101082	4.89184487258388	9.98951671902949e-07	2.22657499098811e-06
TRINITY_DN100225_c0_g1	3.06692066435652	-1.73767005483059	0.780128169828749	-2.22741611190894	0.0259194765977306	0.0363814302946918
TRINITY_DN10022_c1_g1	1854.19599221215	-0.882154214536777	0.115414746210237	-7.64334059124356	2.11657130551683e-14	8.32042272156883e-14
TRINITY_DN10023_c0_g1	1004.03189301182	-0.988741426922753	0.256761537524275	-3.85081596120787	0.000117724942443605	0.000217256624551229
TRINITY_DN10029_c0_g1	565.739451819438	-1.53541893685436	0.224215811465597	-6.84795120744617	7.49151057210839e-12	2.51629181232986e-11
TRINITY_DN1002_c0_g1	1569.29277757653	0.852167541937475	0.0894946366809003	9.52199565853249	1.69884741957586e-21	1.08242478684481e-20
TRINITY_DN10034_c0_g1	436.737938139305	-1.10745133940927	0.221196764838387	-5.00663443345751	5.5389980847791e-07	1.26146030748456e-06
TRINITY_DN100430_c0_g1	4.55061043445197	3.57422509179772	1.44114984565001	2.4801203723445	0.0131338036188689	0.019235414203679
TRINITY_DN10043_c0_g1	271.06591476973	-0.68734444134	0.256289123548697	-2.68191030435749	0.00732030841888329	0.0110939816642392
TRINITY_DN100468_c0_g1	10.8228953881338	4.82138681590136	1.1194238091237	4.30702543273187	1.65464591664846e-05	3.30109559864526e-05
TRINITY_DN1004_c1_g1	716.549740473718	-2.41189383375356	0.246467126047215	-9.78586423445176	1.29484301081609e-22	8.80745059199422e-22
TRINITY_DN10053_c0_g1	2211.91766297438	0.669363214498348	0.236755846915368	2.82722992153864	0.00469526027913805	0.00728941763462491
TRINITY_DN10057_c0_g1	1704.40742301069	1.55905555569968	0.212290825237994	7.34396106827442	2.07363463946794e-13	7.6557438869912e-13
TRINITY_DN100587_c0_g1	94.8907195397774	-3.28244291517323	0.621336433971772	-5.28287532438885	1.27171941192403e-07	3.06759032738336e-07
TRINITY_DN1005_c0_g1	1600.54411599816	-0.274732354645215	0.105040569466041	-2.61548805420398	0.00891000379201842	0.0133479328674162
TRINITY_DN10060_c0_g1	325.529384538296	-0.823516060702489	0.180118042231741	-4.57209089383143	4.82881375642126e-06	1.0122991109873e-05
TRINITY_DN10065_c0_g1	470.659133403079	2.68963428099907	0.323615742456588	8.31119728781387	9.47412614356078e-17	4.38900699107934e-16
TRINITY_DN10066_c0_g1	930.060010479108	-1.39713801610504	0.13255389354338	-10.5401507172462	5.64084246929194e-26	4.63364877993567e-25
TRINITY_DN10068_c0_g1	438.261869376194	-1.18888861489087	0.162054588190674	-7.33634652474027	2.19503256163776e-13	8.09269841240707e-13
TRINITY_DN1006_c0_g1	1422.16350212219	-1.83586360739885	0.221917290371382	-8.27273802922928	1.30917145803608e-16	5.97329140019138e-16
TRINITY_DN10079_c0_g1	680.326830352358	2.40971747311036	0.304955615553008	7.90186292762824	2.747654852018e-15	1.14587639278856e-14
TRINITY_DN10082_c0_g1	695.134982913538	-0.949690435601064	0.158632264719308	-5.98674196123654	2.14086015904679e-09	5.92918782535755e-09
TRINITY_DN10091_c0_g1	1569.48371196534	-0.373191389497804	0.126331927464806	-2.95405442620014	0.00313628688357685	0.00497071177791795
TRINITY_DN10097_c0_g1	537.38901369605	-1.403619575623	0.23364277089986	-6.00754549441887	1.88352964347537e-09	5.23504652685719e-09
TRINITY_DN100985_c0_g1	3.65679957596701	2.02450218756484	0.779976573148717	2.59559358224318	0.00944276846482347	0.0141078951962645
TRINITY_DN10098_c0_g1	575.313099700229	-1.35756685066427	0.180238542956328	-7.53205628716835	4.9947417064268e-14	1.91587624877687e-13
